Header,Article,Date
Header,Article,Date
Israel Gaza: China condemns US veto of call for immediate ceasefire at UNPublished21 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"China has sharply criticised the US for vetoing a United Nations (UN) Security Council resolution demanding an immediate ceasefire in Gaza. Beijing said the move sent the ""wrong message"" and effectively gave a ""green light to the continued slaughter"". The White House said the Algerian-proposed resolution would ""jeopardise"" talks to end the war. The US has proposed its own temporary ceasefire resolution, which also warned Israel not to invade the city of Rafah. Algeria's resolution was backed by 13 of the 15 members of the UN Security Council - with the UK abstaining. Under the council's rules, any resolution that is vetoed by one of its five permanent members - which includes the US - is immediately thrown out. Israel launched its operations in Gaza following an attack by Hamas on southern Israel on 7 October, during which about 1,200 people were killed and more than 240 others taken hostage. The Israeli military campaign has left more than 29,000 people dead in Gaza, according to the Palestinian territory's Hamas-run health ministry. More than a million displaced Palestinians - about half of the Strip's population - are crammed into Rafah after being forced to seek shelter there. The southern city, which borders Egypt, was home to only 250,000 people before the war. Many of the displaced are living in makeshift shelters or tents in squalid conditions, with scarce access to safe drinking water or food. The US decision to block Algeria's resolution has been met with widespread condemnation. China's UN ambassador Zhang Jun said the claim that the motion would interfere with diplomatic negotiations was ""totally untenable"". ""Given the situation on the ground, the continued passive avoidance of an immediate ceasefire is nothing different from giving a green light to the continued slaughter,"" he said. ""The spillover of the conflict is destabilising the entire Middle East region, leading to rising risk of a wider war,"" he added. ""Only by extinguishing the flames of war in Gaza can we prevent the fires of hell from engulfing the entire region."" Algeria's top UN diplomat declared that ""unfortunately the Security Council failed once again"". ""Examine your conscience, how will history judge you,"" Amar Bendjama added. Some US allies have also been critical of the decision to veto Algeria's proposed resolution. France's UN envoy Nicolas de Rivière expressed regret that the resolution had not been adopted ""given the disastrous situation on the ground"". Linda Thomas-Greenfield, Washington's ambassador to the UN, said it was not the right time to call for an immediate ceasefire while negotiations between Hamas and Israel were continuing. Her UK counterpart, Barbara Woodward, said the plan could ""actually make a ceasefire less likely"" by endangering talks. The alternative resolution proposed by the US, meanwhile, calls for a temporary ceasefire ""as soon as practicable"" and on the condition that all hostages are released, as well as urging the lifting of barriers on aid reaching Gaza. The White House previously avoided the word ""ceasefire"" during UN votes on the war. It is unclear if or when the Security Council will vote on the proposal. The draft also states that a major ground offensive in Rafah would result in more harm to civilians and their further displacement, including potentially into neighbouring countries - a reference to Egypt. Israel's Prime Minister Benjamin Netanyahu said on Tuesday he was ""committed to continuing the war until we achieve all of its goals"" and no pressure could change it. The UN has warned that a planned Israeli offensive in the city could lead to a ""slaughter"". The Israeli military has previously insisted it only targets Hamas fighters. Israeli war cabinet member Benny Gantz said the ground assault would be launched unless Hamas freed all hostages by 10 March. The failure of Algeria's proposed resolution comes days after Qatar, one of the countries mediating talks aimed at brokering a pause to the fighting in Gaza, saidthey had not been ""very promising"" recently.",2024-02-21T11:01:03.000Z
Header,Article,Date
Awkward choices for Labour over Gaza votePublished21 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Today's debates at Westminster over the UK's outlook on the Israel-Gaza conflict are rooted in domestic politics. The genesis of the whole thing is what is known as an Opposition Day debate which the Scottish National Party have been granted. Even before therow of last week about Labour's candidate in the Rochdale by-electionwho is no longer Labour's candidate, the SNP planned to use this debate to set out what they see as their distinctive position among Westminster's biggest parties at least on the conflict - their desire, going back some time, for an ""immediate ceasefire"". They see themselves as ""Westminster's conscience"" on the issue and wanted to press home that position. The SNP are keenly aware of the political tussle they currently confront: a resurgent Labour Party which threatens their dominance in Scotland and threatens to snaffle a considerable number of current SNP seats at the general election. So pointing out points of difference with Labour is key and they profoundly believe Labour has been in the wrong place for too long, in hugging the government's position very closely and explicitly avoiding calling for an immediate ceasefire. Labour, meanwhile, believe they have a duty to act as a government in waiting and behave as they would if they were in government. But, confronted by this debate, Labour had a choice to make. And yesterday, for the first time, they did say they backed an ""immediate ceasefire"" and so the gap between the SNP and Labour positions narrowed. Senior Labour folk tell me their position is nuanced and also reflects the changing picture in the region and among the UK's allies. Labour say it is an essential condition of a ceasefire that Israel feels secure and there is the prospect of a viable Palestinian state - neither of which are straightforward objectives, however laudable or otherwise. The SNP counter that the two parties' positions are now very close and welcome that. But this is where parliamentary procedure throws up a twist. The government has set out its own position in an amendment to today's debate. It is not changing its position but the language is different from Labour's - despite how close the two frontbenches have been since October. And those within Labour who have been sceptical about Sir Keir Starmer's approach - feeling it has been too pro-Israel and insufficiently focused, until now at least, on a ceasefire - are not likely to be convinced by it. And here's the rub: in debates like this, the convention is the motion itself, the SNP's position, will be voted on, as will the government's position. But not necessarily Labour's. If that comes to pass, what do Labour do? They could choose to abstain, but there is a risk for Sir Keir in that scenario that some of his MPs feel obliged to back the SNP motion to register their desire for an immediate ceasefire. Net result, potentially: Labour looks divided. Now, you might be reading this thinking what on earth has this actually got to do with what is happening in Israel and Gaza? And what difference does any of this make to the UK's position on the conflict? The short answer is: it will make no difference. The longer answer is Labour is a party that aspires to be in government in a matter of months, and has found itself in some awkwardness at the very least ever since the Hamas atrocities in Israel in October. That awkwardness continues - as we see in Rochdale. And Labour's two biggest opponents - who themselves argue they have clear, consistent (albeit different) positions - are not averse to pointing out Labour's difficulty on one of the biggest foreign policy issues of the day.",2024-02-21T10:46:08.000Z
Header,Article,Date
Labour calls for immediate humanitarian ceasefire in Gaza for first timePublished21 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Labour has called for an immediate humanitarian ceasefire in Gaza for the first time since the outbreak of the conflict in October. The move comes after days of party debate on how to vote in Parliament on an SNP motion calling for a ceasefire. Ten Labour frontbenchers quit in order to vote for the SNP's previous call for a ceasefire in November. Shadow foreign secretary David Lammy said Labour had shifted because the situation in Gaza had ""evolved"". Mr Lammy said Labour was ""mirroring the language"" of the UN and the remaining members of the Five Eyes alliance - made up of the United States, Australia, New Zealand and Canada's intelligence services. On Tuesday, Labour tabled an amendment, which for the first time uses the phrase ""immediate humanitarian ceasefire"", to the SNP's ceasefire motion. Labour Leader Sir Keir Starmer has for some time beencalling for the fighting to stop""now"". It means that in effect Labour's position is now much closer to the SNP's - although Labour's amendment emphasises more than the SNP's the role of Hamas as well as Israel in bringing about a lasting ceasefire. A party spokesperson said: ""Our amendment calls for an immediate humanitarian ceasefire, in line with our allies. ""We need the hostages released and returned. We need the fighting to stop now. We need a massive humanitarian aid programme for Gaza. And any military action in Rafah cannot go ahead. ""We want the fighting to stop now. We also have to be clear on how we prevent the violence starting up again. There will be no lasting peace without a diplomatic process that delivers a two-state solution, with a safe and secure Israel alongside a viable Palestinian state."" The issue of which amendment or amendments are voted on is one for Commons Speaker Sir Lindsay Hoyle, who will make a decision later this morning. He will take advice from Commons clerks on what to do in accordance with conventions. Some procedural experts believe he is most likely to select only a government amendment. But it is very unusual for both the government and the main opposition party to be trying to amend another opposition party's motion - and, as was seen in the fraught Brexit years, conventions can be flexible. The government amendment calls for an ""immediate humanitarian pause"" in the fighting before ""moves towards a permanent sustainable ceasefire"" that involve Hamas freeing all hostages, relinquishing control of Gaza, and international efforts to create a two-state solution. It ""supports Israel's right to defence, in compliance with international humanitarian law"". Labour has not said how it plans to vote if its own amendment is not voted on. Israel declared war on Hamas after the group led an attack on communities inside Israel, killing around 1,200 people. Since then, according to the Hamas-run health ministry, more than 29,000 Palestinians have been killed and 69,000 wounded as Israel has launched missiles and ground operations into the Gaza Strip in response. The Israeli Defense Forces says it has killed nearly 12,000 Hamas fighters in Gaza, in addition to more than 1,000 fighters inside Israel. It has not disclosed how it has calculated these figures. Until now the Labour Party's leadership has avoided using the phrase ""immediate ceasefire"", which led to a clear split in the party in November when 56 of Labour's 198 MPs backed an SNP motion. Ten of those were frontbencherswho had to leave their positions for holding views against the party leadership. Sir Keir had instead called for a ""humanitarian pause"" and an end of fighting ""as soon as possible"". Whether or not those positions are substantively different, the crucial political fact is that this is designed to be seen as a slight hardening of Labour's position towards Israel. Clive Betts, who was one of the Labour MPs to defy the leadership in November, said Labour's amendment was ""a really firm, strong statement, which I think the party will unite behind"". However, left-wing campaign group Momentum, said: ""Scratch the surface of this amendment and it falls well short of what the moment requires: a clear call for an immediate ceasefire. ""By making its call for a ceasefire so conditional and caveated, the Labour leadership is giving cover for Israel's brutal war to continue."" Mr Lammy told the BBC that Labour's amendment ""reflects the complexity of the situation"" and the desire for ""a lasting humanitarian ceasefire"". He contrasted this with the SNP motion, which he said ""feels unbalanced"". Lisa Nandy, shadow secretary of state for international development, told BBC Radio 4's Today programme: ""It [SNP motion] doesn't lay out any kind of political horizon that would make a ceasefire either achievable or sustainable. ""But secondly it doesn't make clear that this term ceasefire... must be observed by both sides."" Asked if Labour would vote for the SNP's motion if their amendment is not called she said that would be a ""question for the chief whip"". SNP Westminster leader Stephen Flynn welcomed what he described as a ""long-overdue U-turn"" by Sir Keir. He said the Labour leader was ""forced into this position through public pressure and, in particular, by the SNP"". Mr Flynn also called on Prime Minister Rishi Sunak to back an immediate ceasefire. This week, Sir Keir has come under increasing pressure after the Scottish Labour party passed a motion calling for an immediate ceasefire in Gaza. Labour's position on Gaza has also come under scrutiny in the upcoming Rochdale by-election, where the partydropped its parliamentary candidateover antisemitic comments he apparently made during a discussion about the conflict. The SNP motion calls for an ""immediate ceasefire in Gaza and Israel"" as the ""only way to stop the slaughter of innocent civilians"". If passed, the SNP's opposition day motion is not binding on the government. Instead, they typically express opposition MPs' position on a particular issue. The government has also put forward its own amendment, calling for ""an immediate humanitarian pause"" and supporting moves ""towards a permanent sustainable ceasefire"". The move threatens to expose Labour splits over the issue, as it makes it less likely the Commons Speaker will choose the Labour amendment for debate on Wednesday. If this happened it would leave Labour MPs with the choice of voting for the government's position, which does not go as far as calling for an immediate ceasefire, or the SNP's stance. If - as seems likely - Labour were to call for its MPs to abstain on the SNP motion, Mr Lammy made clear ""collective responsibility"" would apply, meaning shadow ministers who vote for it would be expected to resign. Party sources are not anticipating further resignations - but some backbench Labour MPs could still rebel. Additional reporting by Becky Morton",2024-02-21T09:18:13.000Z
Header,Article,Date
WHO fears for remaining patients at Gaza's Nasser hospitalPublished21 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"The World Health Organization fears for the safety of 130 patients at Gaza's Nasser hospital, which it declared non-functional following an Israeli raid. The UN agency has led two missions to transfer 32 critically ill Palestinians from the complex in Khan Younis. It says there is no electricity or running water, and that medical waste and garbage pose a disease risk. Israel says its troops are delivering aid to ensure the hospital continues to function while they act against Hamas. According to the Israeli military, they have detained hundreds of ""terrorists"" and found weapons and medicines intended for Israeli hostages held by Hamas since entering the facility last Thursday. Hamas - which is proscribed as a terrorist organisation by Israel, the UK and others - has denied allegations that its fighters use hospitals for cover, saying they are being used as a pretext to destroy Gaza's healthcare system. Only 11 of the Palestinian territory's 36 hospitals are still partially functional after four months of conflict, while three are functioning at minimal capacity. Meanwhile, the Word Food Programme said it was pausing food deliveries to northern Gaza amid ""complete chaos and violence due to the collapse of civil order"". It warned that the decision, taken after the looting of several trucks and the beating of one of the drivers, meant the ""situation there will deteriorate further and more people risk dying of hunger"". The Israeli military launched a large-scale air and ground campaign in Gaza after Hamas gunmen killed about 1,200 people in southern Israel on 7 October and took 253 other people hostage. Gaza's Hamas-run health ministry says 29,195 people have been killed in the territory since then, including at least 103 in the past 24 hours. The WHO said in a statementthat its staff had led two high-risk missions on Sunday and Monday to move 23 critical patients, including two children, from the Nasser Medical Complex and provide supplies of medicines and food. Four Palestinian Red Crescent ambulances transported the patients to the European hospital in Khan Younis, al-Aqsa hospital in the central town of Deir al-Balah, and three field hospitals in the southern city of Rafah. ""Patients transferred during the missions included three suffering from paralysis - two of them with tracheostomy - and several others with external fixators for severe orthopaedic injuries. Two of the paralyzed patients required continuous manual ventilation throughout the journey, due to the lack of portable ventilators,"" it said. WHO staff reported that the destruction around the hospital was ""indescribable"", with burnt and destroyed buildings, heavy layers of debris, and no roads to it still intact. It warned that further disruption to lifesaving care for the estimated 130 sick and injured patients who remain inside the hospital along with at least 15 doctors and nurses would ""lead to more deaths"". The WHO said that before the transfers its staff had twice been denied access to the hospital to carry out medical assessments and that it had received reports of the deaths of at least five patients in the intensive care unit. It called the ""dismantling and degradation"" of Nasser hospital ""a massive blow to Gaza's health care system"". Gaza's health ministry said Israeli forces had converted Nasser hospital into a ""military barracks"" and that the situation there had ""gone beyond a disaster"", posing a direct threat to the lives of the patients and staff. On Monday, the Israeli defence ministry body overseeing policy for the Palestinian territories, Cogat, insisted thatNasser hospital was ""operational during the entire IDF (Israel Defense Forces) activity, despite Hamas operatives posing as medical staff"". ""We facilitated humanitarian aid and supplies to the hospital and co-ordinated a UN team to evacuate the patients,"" it wrote on X, formerly Twitter. The aid deliveries included a UN tanker carrying 24,500 litres of diesel fuel, hundreds of water bottles, ration packs, loaves of bread, a replacement electricity generator and medicines donated by the WHO, it added. On Sunday, the Israeli military said commandos had detained ""hundreds of terrorists and other terror suspects who were hiding in the hospital"", including some who had participated in the 7 October attacks, those with connections to the hostages and significant Hamas operatives. They also found large quantities of weapons, a vehicle used on 7 October and another that belonged to an Israeli kibbutz which was attacked, as well as named boxes of medicine which should have been transferred to Israeli hostages under a deal agreed last month, it added. The Palestinian Red Crescent also warned on Tuesday about the situation at the other major hospital in Khan Younis, al-Amal, where about 180 patients, medics and displaced people remain two weeks after Israeli troops raided it. ""Al-Amal hospital is currently under multiple attacks, as Israeli forces have directly targeted the third floor of the hospital, resulting in the burning of two rooms,""a post on X said. ""Additionally, the hospital's water lines were targeted."" The IDF said it not aware of the incident.",2024-02-21T07:44:00.000Z
Header,Article,Date
Prince William: 'Too many killed' in Israel-Gaza warPublished20 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Prince William has called for an ""end to the fighting as soon as possible"", in a strongly worded intervention on the Israel-Gaza conflict. He has spoken of the ""terrible human cost of the conflict in the Middle East since the Hamas terrorist attack"". The Prince of Wales says there is a ""desperate need for increased humanitarian support to Gaza"" and for hostages to be released. His statement came as he visited the British Red Cross in London. It's understood the government had been briefed about the prince's statement and his visits, via the Foreign, Commonwealth and Development Office. ""Too many have been killed,"" said the prince, who was told by Red Cross workers about the humanitarian efforts to support people caught up in the conflict in the Middle East. He took part in a video link with Red Cross staff in Gaza, who gave him graphic first-hand accounts of their work. The prince heard warnings from senior crisis manager, Pascal Hundt, that without medical supplies or fuel, hospitals risked ""becoming a cemetery"" and that distributing humanitarian aid had become difficult because of looting by ""hungry mobs"". Prince William was also told that the Red Cross was ready to help with the release of hostages. ""It is civilians who pay the price as the humanitarian situation continues to deteriorate,"" said Beatrice Butsana-Sita, British Red Cross chief executive. Israel launched its operations in Gaza following an attack by Hamas on southern Israel on 7 October, during which about 1,200 people were killed and more than 240 others taken hostage. The Israeli military campaign has killed 29,000 people in the Palestinian territory, according to the Hamas-run health ministry. Prince William is carrying out visits this month intended to recognise the human suffering and distress from the Israel-Gaza war. He is said to have felt strongly about what has happened in the Middle East and is ""deeply moved as a father"". ""Sometimes it is only when faced with the sheer scale of human suffering that the importance of permanent peace is brought home,"" says the prince. The prince's statement was welcomed by Prime Minister Rishi Sunak, whose spokeswoman said: ""We want to see an end to the fighting in Gaza as soon as possible, so it is consistent with the government position."" On another visit to a synagogue later this month Prince William will speak to young people from a range of backgrounds, in a meeting which will draw particular attention to concerns about antisemitism. In response to the prince, Israeli government spokesman Eylon Levy said: ""Israelis of course want to see an end to the fighting as soon as possible, and that will be possible once the 134 hostages are released, and once the Hamas terror army threatening to repeat the 7 October atrocities is dismantled."" Britain's chief Rabbi Ephraim Mirvis said Prince William had shown ""deep concern"" for the wellbeing of all those affected by the conflict and said his visit to a synagogue would ""send a powerful message"". The building of bridges between faiths, and tackling religious intolerance, has been a particular cause of the prince's father, King Charles III. But since the King's cancer diagnosis earlier this month, he has not been carrying out such public visits. Last October, the King spoke of the ""heartbreaking loss of life"" in the Middle East conflict and made an impassioned call for respect between different faiths and cultures. And in his Christmas message, he spoke of the underlyinguniversal values shared by religions, at a time of ""tragic conflict"". But with the King stepping back from such public involvement during his cancer treatment, Prince William will be among the senior royals taking on such symbolic and sensitive visits. Prince William's full statement reads: ""I remain deeply concerned about the terrible human cost of the conflict in the Middle East since the Hamas terrorist attack on October 7. Too many have been killed. ""I, like so many others, want to see an end to the fighting as soon as possible. There is a desperate need for increased humanitarian support to Gaza. It's critical that aid gets in and the hostages are released. ""Sometimes it is only when faced with the sheer scale of human suffering that the importance of permanent peace is brought home. ""Even in the darkest hour, we must not succumb to the counsel of despair. I continue to cling to the hope that a brighter future can be found and I refuse to give up on that.""",2024-02-20T22:14:42.000Z
Header,Article,Date
US vetoes call for immediate Gaza ceasefire at UNPublished20 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"The US has vetoed a resolution at the UN demanding an immediate ceasefire in Gaza after proposing its own draft urging a temporary ceasefire. Washington said the Algerian-proposed resolution would ""jeopardise"" talks to end the war. But the move has been condemned, with US allies expressing regret the original ceasefire motion was blocked by the White House. In its own resolution the US warned Israel not to invade the city of Rafah. The US has previously avoided the word ""ceasefire"" during UN votes on the war, but President Joe Biden has recently made similar comments. Thirteen countries on the 15-member body backed Algeria's resolution, while the UK abstained. Linda Thomas-Greenfield, Washington's ambassador to the UN, said it was not the right time to call for an immediate ceasefire while negotiations between Hamas and Israel were continuing. The draft resolution proposed by the US calls for a temporary ceasefire ""as soon as practicable"" and on the condition that all hostages are released, as well as urging barriers on aid reaching Gaza to be lifted. However, it is unclear if or when the Security Council will vote on the form of words proposed by Washington. After the US vetoed Algeria's ceasefire resolution, the north African nation's envoy to the UN said it ""would have sent a strong message to Palestinians"" and declared that ""unfortunately the Security Council failed once again."" ""Examine your conscience, how will history judge you,"" Amar Bendjama said. Palestinian representative to the UN Riyad Mansour said the US veto was ""absolutely reckless and dangerous"". Heavy criticism also came from a series of Israeli and US allies. France's representative, Nicolas de Rivière, expressed regret that the resolution was ""not adopted given the disastrous situation on the ground"". But Israel's Prime Minister Benjamin Netanyahu said he was ""committed to continuing the war until we achieve all of its goals"". ""There is no pressure, none, that can change this,"" he added. Washington has come under immense international pressure to use its leverage to rein in Israel's devastating operations, having spent much of the war emphasising its ally's right to self-defence. Israel would be bound to follow any Security Council resolution, as these are legally binding. This issue distinguishes the Security Council from the General Assembly. It is the first time the US has called for a temporary ceasefire in Gaza at the UN, having vetoed previous resolutions using the word. Frank Lowenstein, who served as US special envoy for Middle East peace under President Obama, called the move ""a pretty significant shift"" in American policy. ""What I think is most significant is what this says about the frustration level the Biden administration has with Prime Minister Netanyahu and the Israeli government,"" he told the BBC World Service. ""They've just consistently ignored us when it comes to humanitarian assistance, reducing civilian casualties and now they are dug in on this Rafah invasion that we are strongly counselling against."" Mr Lowenstein also noted that President Biden is under pressure from Arab-Americans to do more to halt the killings of Palestinians. A former Israeli ambassador to the US said the American ceasefire resolution ""is going to be a problem for the Israeli government"". Michael Oren told BBC Newshour a key issue was any temporary ceasefire linked to talks on hostages releases would give ""immense leverage to Hamas"", who could then ""drag out those negotiations"" indefinitely. ""Any Israeli government would not meet those terms, it would mean Hamas wins the war and Israel loses,"" he said. The US draft resolution states that a major ground offensive in Rafah would result in more harm to civilians and their further displacement, including potentially into neighbouring countries - a reference to Egypt. It also says such a move would have serious implications for regional peace and security. More than a million displaced Palestinians, who represent about half of Gaza's population, are crammed into Rafah after being forced to seek shelter there. The southern city, which borders Egypt, was home to only 250,000 people before the war. Many of the displaced are living in makeshift shelters or tents in squalid conditions, with scarce access to safe drinking water or food. The UN has issued its own warning that a planned Israeli offensive in the city could lead to a ""slaughter"". Its aid chief says civilians in Rafah, ""like the entire population of Gaza, are the victims of an assault that is unparalleled in its intensity, brutality and scope"". The UN says women and children continue to be killed in air strikes. The Israeli military has previously insisted it only targets Hamas fighters. Israeli war cabinet member Benny Gantz has warned the manoeuvre will be launched unless Hamas frees all its hostages by 10 March. The date marks the start of Ramadan, the Islamic holy month of fasting. Israel launched its operations in Gaza following an attack by Hamas gunmen on southern Israel on 7 October, during which about 1,200 people were killed and more than 240 others taken hostage. The Israeli military campaign has killed 29,000 people in the Palestinian territory, according to the Hamas-run health ministry there.",2024-02-20T22:02:14.000Z
Header,Article,Date
Israel-Gaza war: World Food Programme stops deliveries to northern GazaPublished20 FebruaryShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"The World Food Programme has paused ""life-saving"" food deliveries to northern Gaza, saying aid convoys had endured ""complete chaos and violence due to the collapse of civil order"". The agency says the decision has not been taken lightly and crews had faced crowds, gunfire and looting. The UN has been warning oflooming famine in the northsince December. The WFP says these latest reports are proof of a ""precipitous slide into hunger and disease"". The Israeli military ordered 1.1 million Palestinian civilians to evacuate all areas north of Wadi Gaza and seek shelter in the south at the start of its ground offensive in October. The evacuation area included Gaza City - which before the war was the most densely populated area of the territory. Most residents followed the Israeli order, but several hundred thousand chose to stay or were unable to flee as Israeli troops encircled the region and then largely took control of Hamas strongholds there. Last month the UN agency for Palestinian refugees, Unrwa, said at least 300,000 people who had remained in northern Gaza depended on its assistance for their survival. Aid deliveries to the north have been scarce and dependent on security clearances from the Israeli military. This weekend the WFP had hoped to begin a week-long delivery, sending 10 lorries each day to help ""stem the tide of hunger and desperation"". But on Sunday, as a convoy neared the Wadi Gaza checkpoint on its way north, it was ""surrounded by crowds of hungry people"" with ""multiple attempts by people to climb aboard"" and then on entering Gaza City faced gunfire, ""high tension and explosive anger"". Additionally, several lorries driving between the southern city of Khan Younis and the central town of Deir al-Balah had been looted and a driver beaten. The WFP said over the past two days its teams had ""witnessed unprecedented levels of desperation"" in the Gaza Strip. ""Food and safe water have become incredibly scarce and diseases are rife, compromising women and children's nutrition and immunity and resulting in a surge of acute malnutrition,"" it said. ""People are already dying from hunger-related causes,"" it added. A joint report issued by the WFP and the UN's children's agency UNICEF on Monday found that the the situation was ""particularly extreme"" in the north of Gaza. Nutrition screenings conducted at shelters and health centres in the north found that more than 15% of children under two years of age were ""acutely malnourished"", the WFP said. The agency said it would seek ways to resume deliveries in a ""responsible manner"" as soon as possible and urged a major expansion of aid to northern Gaza. It said this would require significantly higher volumes of food entering Gaza from multiple routes and called for crossing points between Israel and northern Gaza to be opened. It also called for a functioning humanitarian notification system, a stable communication network and security for its staff and partners as well as for Gazans themselves. ""Gaza is hanging by a thread and WFP must be enabled to reverse the path towards famine for thousands of desperately hungry people,"" it says. Meanwhile, the UN human rights office said it was ""continuing to closely monitor the situation"" when asked about a statement from seven independent UN experts expressing concern about reports of violence by Israeli forces against Palestinian women and girls in Gaza and the occupied West Bank. Reem Alsalem, an expert on violence against women and girls, and Francesca Albanese, an expert on human rights in the Occupied Palestinian Territories, said they were ""appalled"" by the ""credible allegations"", including that women and girls had been killed extrajudicially in Gaza while seeking refuge or fleeing, and that others detained in Gaza and the West Bank had been ""subjected to multiple forms of sexual assault, such as being stripped naked and searched by male Israeli army officers"". ""At least two female Palestinian detainees were reportedly raped while others were reportedly threatened with rape and sexual violence,""they added, without providing further details. Israel's mission to the UN in Genevarejected the ""despicable and unfounded claims""and accused the experts of being ""motivated by their hatred for Israel, not by the truth"". In a statement on Tuesday the UN human rights office said: ""We reiterate that Israel must comply fully with the provisional measures ordered by the International Court of Justice, and ensure full accountability for the conduct of its military and security forces."" Israel launched its operations in Gaza following an attack by Hamas gunmen on southern Israel on 7 October, during which about 1,200 people were killed and more than 240 others taken hostage. The Israeli military campaign against Hamas has killed 29,000 people in the Palestinian territory, according to the Hamas-run health ministry there.",2024-02-20T19:16:03.000Z
Header,Article,Date
