,Country,News Publisher,Country Stance,Headline,parsed_dates,Headline Stance
22,South Africa,eNCA,Pro Palestine,UN Security Council struggles to 'speak with one voice' on Gaza,2023-12-19,Neutral
23,South Africa,eNCA,Pro Palestine,Gazans flee as army evacuation warning sparks condemnation,2023-10-13,Pro-Palestine
24,South Africa,eNCA,Pro Palestine,Fresh Gaza strikes as fears grow for patients in raided hospital,2024-02-17,Pro-Palestine
25,South Africa,eNCA,Pro Palestine,Gaza fishermen rejoice at finally fixing their boats,2022-12-05,Pro-Palestine
26,South Africa,eNCA,Pro Palestine,Israel says troops encircle Gaza City,2023-11-03,Pro-Israel
27,South Africa,eNCA,Pro Palestine,Gaza archaeologists find 'complete' Roman-era cemetery,2022-12-13,Pro-Israel
28,South Africa,eNCA,Pro Palestine,Discussion | SA takes Israel to World Court over Gaza,2024-01-04,Pro-Palestine
29,South Africa,eNCA,Pro Palestine,UN chief calls UNRWA 'backbone' of Gaza humanitarian aid,2024-01-31,Pro-Palestine
30,South Africa,eNCA,Pro Palestine,Israel to 'extend' Gaza ground operation as UN warns of 'avalanche of human suffering',2023-10-27,Pro-Israel
31,South Africa,eNCA,Pro Palestine,"Gaza health ministry says war deaths near 30,000 as famine looms",2024-02-29,Pro-Palestine
32,South Africa,eNCA,Pro Palestine,Gaza war heaps pressure on Palestinian president Abbas,2023-10-22,Pro-Palestine
33,South Africa,eNCA,Pro Palestine,Middle East conflict | Gift of the Givers refers Israel to ICC,2023-12-05,Neutral
34,South Africa,eNCA,Pro Palestine,Israel sets Ramadan deadline for assault on Gazan city Rafah,2024-02-19,Pro-Palestine
35,South Africa,eNCA,Pro Palestine,UN warns order 'starting to break down' as Israel pounds Gaza,2023-10-29,Pro-Palestine
36,South Africa,eNCA,Pro Palestine,AFP calls for investigation over strike on Gaza bureau,2023-11-04,Pro-Palestine
37,South Africa,eNCA,Pro Palestine,Israel to discuss 'next steps' in Gaza truce talks,2024-02-25,Neutral
38,South Africa,eNCA,Pro Palestine,US urges 'immediate' ceasefire as Gaza war grinds on,2024-03-21,Pro-Palestine
39,South Africa,eNCA,Pro Palestine,Deadly Israel strikes rock Gaza after truce collapses,2023-12-01,Neutral
40,South Africa,eNCA,Pro Palestine,Fresh hostage-prisoner releases expected as Gaza truce holds,2023-11-25,Neutral
41,South Africa,eNCA,Pro Palestine,Blinken starts Mideast tour to press for Gaza truce,2024-02-05,Neutral
42,South Africa,eNCA,Pro Palestine,Battles around Gaza's largest hospital leave many trapped,2023-11-13,Pro-Palestine
43,South Africa,eNCA,Pro Palestine,Australia skipper Cummins backs Khawaja on Gaza views,2023-12-25,Pro-Palestine
44,South Africa,eNCA,Pro Palestine,Israel must 'ensure urgent humanitarian assistance' in Gaza: ICJ,2024-03-28,Pro-Palestine
45,South Africa,eNCA,Pro Palestine,Civilians trapped by fighting in Gaza,2024-01-27,Pro-Palestine
46,South Africa,eNCA,Pro Palestine,ICJ Genocide Verdict | SA asks UN court to halt Gaza fighting,2024-01-26,Pro-Palestine
47,South Africa,eNCA,Pro Palestine,"Discussion| Israel-Palestine Conflict | Hopes for ceasefire by next week, Monday",2024-02-28,Neutral
48,South Africa,eNCA,Pro Palestine,WATCH | SA calls for more countries to stand against war crimes,2024-01-26,Neutral
49,South Africa,eNCA,Pro Palestine,"More than 5,000 said to be killed in Israeli strikes on Gaza",2023-10-22,Pro-Palestine
50,South Africa,eNCA,Pro Palestine,Gaza truce efforts revived as first aid ship unloaded,2024-03-15,Neutral
51,South Africa,eNCA,Pro Palestine,The Israel-Hamas military balance,2023-10-22,Pro-Israel
52,South Africa,eNCA,Pro Palestine,Hamas chief in Egypt for talks on Gaza truce and hostage release,2023-12-20,Neutral
53,South Africa,eNCA,Pro Palestine,'No excuse for hitting a hospital' in Gaza: EU chief,2023-10-18,Pro-Palestine
54,South Africa,eNCA,Pro Palestine,Israel forces fire on Gazans rushing for food aid,2024-02-29,Pro-Palestine
55,South Africa,eNCA,Pro Palestine,"'Sliver of hope' as Hamas releases hostages, but Gaza aid stalled",2023-10-21,Pro-Palestine
56,South Africa,eNCA,Pro Palestine,"Gaza deaths soar as Israel says ""the war will last many more months""",2023-12-27,Pro-Israel
57,South Africa,eNCA,Pro Palestine,Strikes on Gaza's Rafah as US warns of potential 'disaster',2024-02-09,Pro-Palestine
58,South Africa,eNCA,Pro Palestine,Israel bombs more Gaza targets as envoys seek truce,2023-12-21,Pro-Israel
59,South Africa,eNCA,Pro Palestine,World waits on US as Security Council Gaza resolution stalled,2023-12-21,Neutral
60,South Africa,eNCA,Pro Palestine,The Israel-Hamas military balance,2023-10-16,Pro-Israel
61,South Africa,eNCA,Pro Palestine,Gaza beekeeper tends hives by restive border,2023-05-19,Pro-Palestine
62,South Africa,eNCA,Pro Palestine,WATCH | SA requests ICJ order to end Israel's Gaza attacks,2024-01-12,Pro-Palestine
63,South Africa,eNCA,Pro Palestine,"Gaza death toll nears 30,000 as UN warns of 'imminent' famine",2024-02-28,Pro-Palestine
64,South Africa,eNCA,Pro Palestine,Israeli strikes destroy 'hundreds' of Gaza buildings: rescuers,2023-10-28,Pro-Palestine
65,South Africa,eNCA,Pro Palestine,Gaza medic says 50 killed rushing to aid trucks,2024-02-29,Pro-Palestine
66,South Africa,eNCA,Pro Palestine,Israel bombs south Gaza as Hamas officials due in Cairo for truce talks,2023-12-29,Neutral
67,South Africa,eNCA,Pro Palestine,Cyprus says second aid ship ready to leave for Gaza,2024-03-16,Pro-Palestine
68,South Africa,eNCA,Pro Palestine,Entire Gaza population at 'severe levels of acute food insecurity': Blinken,2024-03-19,Neutral
69,South Africa,eNCA,Pro Palestine,China prepares for summit under shadow of Israel-Gaza war,2023-10-16,Neutral
70,South Africa,eNCA,Pro Palestine,"As Gaza deaths top 25,000, Hamas defends attacks that sparked war",2024-01-22,Pro-Palestine
71,South Africa,eNCA,Pro Palestine,"Middle East | SA calling for restraint, peace between Israel and Palestine",2023-10-08,Neutral
72,South Africa,eNCA,Pro Palestine,Israel bombs Gaza as UN weighs new ceasefire call,2023-12-19,Pro-Palestine
73,South Africa,eNCA,Pro Palestine,Israel bombs Gaza as UN warns civilians face 'grave peril',2023-12-28,Pro-Palestine
74,South Africa,eNCA,Pro Palestine,US vice president calls for 'immediate ceasefire' in Gaza,2024-03-04,Pro-Palestine
75,South Africa,eNCA,Pro Palestine,Discussion | Does the ICJ have the power to stop Israel's Gaza campaign?,2024-01-13,Pro-Israel
76,South Africa,eNCA,Pro Palestine,World leaders urge Israel to avoid 'catastrophic' Rafah operation,2024-02-15,Neutral
77,South Africa,eNCA,Pro Palestine,"Pandor calls for ""immediate, comprehensive ceasefire"" in Gaza",2023-11-08,Pro-Palestine
78,South Africa,eNCA,Pro Palestine,Truce between Israel and Hamas extended for two days,2023-11-28,Neutral
79,South Africa,eNCA,Pro Palestine,EU eyes call for 'corridors and pauses' for Gaza aid,2023-10-26,Pro-Palestine
80,South Africa,eNCA,Pro Palestine,29 Gaza babies evacuated to Egypt as another deadly hospital strike reported in Gaza,2023-11-20,Pro-Palestine
81,South Africa,eNCA,Pro Palestine,"Three US troops killed in Jordan, Biden vows reprisal",2024-01-28,Neutral
82,South Africa,eNCA,Pro Palestine,"Gaza bombardment continues as death toll passes 7,000",2023-10-28,Pro-Palestine
83,South Africa,eNCA,Pro Palestine,Israel hammers Gaza's south,2024-01-22,Pro-Palestine
84,South Africa,eNCA,Pro Palestine,Middle East conflict | ICJ to begin two-day hearings,2024-01-11,Neutral
85,South Africa,eNCA,Pro Palestine,Hunger grips north of war-torn Gaza amid ongoing truce talks,2024-02-25,Neutral
86,South Africa,eNCA,Pro Palestine,"Arab, Western diplomats talk past each other on Gaza",2023-10-22,Pro-Palestine
87,South Africa,eNCA,Pro Palestine,Aid ship slowly heads for Gaza as calls for assistance grow,2024-03-14,Pro-Palestine
88,South Africa,eNCA,Pro Palestine,UN Security Council for first time demands Gaza ceasefire as US abstains,2024-03-25,Neutral
89,South Africa,eNCA,Pro Palestine,"Israel-Hamas truce begins, hostages to be released",2023-11-24,Neutral
90,South Africa,eNCA,Pro Palestine,Gift of the Givers staffer killed in Gaza,2023-11-16,Pro-Palestine
91,South Africa,eNCA,Pro Palestine,Diplomatic push for Israel-Hamas ceasefire intensifies,2024-03-05,Pro-Israel
92,South Africa,eNCA,Pro Palestine,Israel battles Hamas militants inside south Gaza city,2023-12-07,Neutral
93,South Africa,eNCA,Pro Palestine,Israel pounds Gaza on 99th day of war,2024-01-13,Neutral
94,South Africa,eNCA,Pro Palestine,Gaza war rages on 100th day as Israel PM promises 'victory' over Hamas,2024-01-14,Neutral
95,South Africa,eNCA,Pro Palestine,Israel-Palestine conflict | National Assembly mulls over shutting down Israeli embassy,2023-11-17,Neutral
96,South Africa,eNCA,Pro Palestine,Israel bombs more Gaza targets as envoys seek truce,2023-12-21,Pro-Israel
97,South Africa,eNCA,Pro Palestine,"Israel, Palestinian militants trade deadly fire over Gaza",2023-05-10,Pro-Palestine
98,South Africa,eNCA,Pro Palestine,Gaza's starving children need a 'flood' of aid: UN,2024-03-05,Pro-Palestine
99,South Africa,eNCA,Pro Palestine,Israel opens Gaza aid crossing as pressure mounts for restraint,2023-12-15,Neutral
100,South Africa,eNCA,Pro Palestine,Israel genocide hearings | ICJ decision to halt hostilities in Gaza expected soon,2024-01-16,Pro-Palestine
101,South Africa,eNCA,Pro Palestine,Dozens killed in Israeli strikes on Gaza: health ministry,2024-01-17,Pro-Palestine
102,South Africa,eNCA,Pro Palestine,UN warns Gaza fuel shortage will stop aid work by end of day,2023-10-25,Pro-Palestine
103,South Africa,eNCA,Pro Palestine,Qatar says Gaza truce proposal to be sent to Hamas as war rages on,2024-01-30,Neutral
104,South Africa,eNCA,Pro Palestine,Fighting rages across Gaza where death toll surges,2024-01-20,Pro-Palestine
105,South Africa,eNCA,Pro Palestine,Blinken discusses sea route for Gaza aid with Cyprus president,2023-11-05,Pro-Palestine
106,South Africa,eNCA,Pro Palestine,Israel retakes Gaza border area as death toll mounts,2023-10-11,Pro-Israel
107,South Africa,eNCA,Pro Palestine,Hundreds killed in Gaza hospital blast,2023-10-18,Pro-Palestine
108,South Africa,eNCA,Pro Palestine,Israel-Gaza War | SA submits referral to International Criminal Court,2023-11-18,Pro-Palestine
109,South Africa,eNCA,Pro Palestine,Ramaphosa calls for protection of civilians and immediate ceasefire in Gaza,2023-11-21,Pro-Palestine
110,South Africa,eNCA,Pro Palestine,Gift of the Givers mourns killing of staffer in Gaza,2023-11-16,Pro-Palestine
111,South Africa,eNCA,Pro Palestine,Gaza truce and hostage release to start Friday,2023-11-23,Neutral
112,South Africa,eNCA,Pro Palestine,Muslim nations announce start of Ramadan in shadow of Gaza war,2024-03-11,Pro-Palestine
113,South Africa,eNCA,Pro Palestine,ICJ genocide decision | UN rocked by Gaza scandal,2024-01-27,Pro-Palestine
114,South Africa,eNCA,Pro Palestine,"Israel, Palestinian militants trade deadly fire over Gaza",2023-05-10,Pro-Palestine
115,South Africa,eNCA,Pro Palestine,"Hamas says Gaza deaths top 25,000 as Israel pushes offensive",2024-01-21,Pro-Israel
116,South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Israel rejects SA's allegations,2023-12-30,Neutral
117,South Africa,eNCA,Pro Palestine,Israel and Gaza at war after Hamas launches surprise attack,2023-10-08,Pro-Israel
118,South Africa,eNCA,Pro Palestine,ICJ reminds Israel of obligation to comply with order,2024-02-18,Pro-Palestine
119,South Africa,eNCA,Pro Palestine,Ramadan brings no relief as Israel-Hamas war rages in Gaza,2024-03-11,Pro-Palestine
120,South Africa,eNCA,Pro Palestine,Israel bombs Gaza as pressure mounts to protect civilians,2023-12-03,Pro-Palestine
121,South Africa,eNCA,Pro Palestine,Israel bombs south Gaza after Hamas hostage threat,2023-12-11,Neutral
122,South Africa,eNCA,Pro Palestine,"Battles, bombardment in Gaza as Israel reschedules talks with US",2024-03-28,Neutral
123,South Africa,eNCA,Pro Palestine,Mediator says Gaza truce 'not promising' as Israel rejects calls to spare Rafah,2024-02-18,Pro-Israel
124,South Africa,eNCA,Pro Palestine,Gaza families return to homes in ruins,2023-11-29,Pro-Palestine
125,South Africa,eNCA,Pro Palestine,Israel says 'dozens' of militants killed in Gaza raids,2023-10-30,Pro-Israel
126,South Africa,eNCA,Pro Palestine,Israeli military proposes 'plan for evacuating' Gaza civilians,2024-02-26,Pro-Palestine
127,South Africa,eNCA,Pro Palestine,Hamas weighs Gaza truce as deadly fighting nears fifth month,2024-02-05,Neutral
128,South Africa,eNCA,Pro Palestine,DA denies gagging its members on the Gaza war,2024-01-18,Pro-Israel
129,South Africa,eNCA,Pro Palestine,Israel battles Hamas in war it says will last 'months',2023-12-15,Neutral
130,South Africa,eNCA,Pro Palestine,Paris protesters call for end to Gaza massacre,2023-11-11,Pro-Palestine
131,South Africa,eNCA,Pro Palestine,"Medicine for hostages, civilians bound for Gaza after night of deadly strikes",2024-01-17,Pro-Palestine
132,South Africa,eNCA,Pro Palestine,'Intensive battles' continue in Gaza as UN chief calls on donors to maintain aid,2024-01-28,Pro-Palestine
133,South Africa,eNCA,Pro Palestine,Palestinians feel 'no joy' as Israel bombs Gaza on Christmas,2023-12-25,Pro-Palestine
134,South Africa,eNCA,Pro Palestine,Cyprus says second aid ship ready to leave for Gaza,2024-03-16,Pro-Palestine
135,South Africa,eNCA,Pro Palestine,Hundreds more foreign nationals flee Gaza as bombing toll mounts,2023-11-02,Pro-Palestine
136,South Africa,eNCA,Pro Palestine,Hamas weighs Gaza truce as deadly fighting nears fifth month,2024-02-04,Neutral
137,South Africa,eNCA,Pro Palestine,Pope calls for end to Gaza war as world celebrates Christmas,2023-12-24,Pro-Palestine
138,South Africa,eNCA,Pro Palestine,Race to rush aid to Gaza as EU warns hunger 'a weapon of war',2024-03-13,Pro-Palestine
139,South Africa,eNCA,Pro Palestine,Israel-Hamas truce enters final day with talk of extension,2023-11-27,Neutral
140,South Africa,eNCA,Pro Palestine,US says Putin seeking to 'take advantage' of Israel-Hamas war,2023-10-31,Neutral
141,South Africa,eNCA,Pro Palestine,Israel army chief says war with Hamas will last 'many more months',2023-12-27,Neutral
142,South Africa,eNCA,Pro Palestine,"At the gates of Gaza, Egypt's perilous balancing act",2024-03-12,Pro-Palestine
143,South Africa,eNCA,Pro Palestine,"'If we bathe, we won't drink': Gazans struggle as water supplies dwindle",2023-10-15,Pro-Palestine
144,South Africa,eNCA,Pro Palestine,Israeli troops battle Hamas militants in southern Gaza,2023-12-05,Pro-Israel
145,South Africa,eNCA,Pro Palestine,West Bank economy in tatters as Gaza war rages,2024-01-18,Pro-Palestine
146,South Africa,eNCA,Pro Palestine,Dire conditions in Gaza hospitals,2023-11-12,Pro-Palestine
147,South Africa,eNCA,Pro Palestine,"Two dead in West Bank attack after Israel bombards Lebanon, Gaza",2023-04-07,Pro-Israel
148,South Africa,eNCA,Pro Palestine,Wêreldhof-uitspraak: Ontleder werp lig op impak op SA regering,2024-01-27,Neutral
149,South Africa,eNCA,Pro Palestine,EU pushes Israel on two-state solution after war in Gaza,2024-01-22,Pro-Palestine
150,South Africa,eNCA,Pro Palestine,"Arbel and Judith, women hostages in Gaza limbo",2023-12-16,Pro-Israel
151,South Africa,eNCA,Pro Palestine,Climate and Gaza crises share spotlight as world leaders attend COP28,2023-12-01,Neutral
152,South Africa,eNCA,Pro Palestine,"Group of SA lawyers want to institute lawsuit again US, UK",2024-02-02,Neutral
153,South Africa,eNCA,Pro Palestine,Blinken hopes for progress on Gaza at UN Security Council,2023-12-20,Neutral
154,South Africa,eNCA,Pro Palestine,"Gaza truce largely holds as Palestinians, Israelis count deadly cost",2023-05-15,Neutral
155,South Africa,eNCA,Pro Palestine,Israeli PM says civilians can leave crowded Rafah before invasion,2024-03-17,Pro-Israel
156,South Africa,eNCA,Pro Palestine,Israeli ground forces move into south of Gaza,2023-12-04,Pro-Israel
157,South Africa,eNCA,Pro Palestine,UN flags at half-mast for staff killed in Gaza,2023-11-13,Pro-Palestine
158,South Africa,eNCA,Pro Palestine,Israel PM orders troops to ready for push into crowded Rafah,2024-02-08,Neutral
159,South Africa,eNCA,Pro Palestine,"Hundreds of wounded, foreigners hope to flee war-torn Gaza",2023-11-02,Pro-Palestine
160,South Africa,eNCA,Pro Palestine,Gaza world's 'most dangerous place' for children: UNICEF,2023-11-23,Pro-Palestine
161,South Africa,eNCA,Pro Palestine,Rights advocates denounce 'systemic abuse' in Israeli prisons,2024-03-16,Pro-Palestine
162,South Africa,eNCA,Pro Palestine,"UN chief, at Gaza crossing, appeals for end to war's 'nightmare'",2024-03-23,Pro-Palestine
163,South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Only possible solution is a political one -  Lord Peter Hain,2024-01-04,Neutral
164,South Africa,eNCA,Pro Palestine,US and Russia abstain during vote,2023-12-22,Neutral
165,South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Hamas fears onslaught will spread to other territories,2023-11-30,Neutral
166,South Africa,eNCA,Pro Palestine,UN General Assembly calls for ceasefire in Gaza,2024-01-20,Pro-Palestine
167,South Africa,eNCA,Pro Palestine,Israel faces growing pressure over Gaza ground operation plans,2023-10-25,Neutral
168,South Africa,eNCA,Pro Palestine,Israeli troops battle Hamas in main southern Gaza city,2023-12-06,Pro-Israel
169,South Africa,eNCA,Pro Palestine,First aid boat unloads in Gaza as Hamas proposes new truce,2024-03-15,Neutral
170,South Africa,eNCA,Pro Palestine,First wounded escape war-torn Gaza for Egypt,2023-10-31,Pro-Palestine
171,South Africa,eNCA,Pro Palestine,"Babies, over-80s, entire families: the Gaza hostages",2023-11-22,Pro-Palestine
172,South Africa,eNCA,Pro Palestine,Israel under pressure from allies as Gaza war rages on,2023-12-13,Neutral
173,South Africa,eNCA,Pro Palestine,"Egypt's Sisi rejects Gaza refugee influx, blames Israel for aid block",2023-10-18,Pro-Palestine
174,South Africa,eNCA,Pro Palestine,Israeli-Palestinian peace camp shaken but determined,2023-11-22,Pro-Palestine
175,South Africa,eNCA,Pro Palestine,Cat cafe brings pawsitivity to war-scarred Gaza,2023-08-18,Pro-Palestine
176,South Africa,eNCA,Pro Palestine,ICJ genocide decision | Unpacking ruling on Israel,2024-01-27,Pro-Palestine
177,South Africa,eNCA,Pro Palestine,'Double standards' : World reacts to US veto on Gaza,2023-12-09,Pro-Palestine
178,South Africa,eNCA,Pro Palestine,WATCH | SA asks ICJ to halt military operations in Gaza,2024-01-11,Pro-Palestine
179,South Africa,eNCA,Pro Palestine,Biden to visit Israel as Gaza ground offensive looms,2023-10-17,Pro-Israel
180,South Africa,eNCA,Pro Palestine,Al Jazeera bureau chief leaves Gaza,2024-01-16,Pro-Palestine
181,South Africa,eNCA,Pro Palestine,Israel vows Hamas's destruction after deadly assault,2023-10-12,Neutral
182,South Africa,eNCA,Pro Palestine,Deadly chaos at Gaza aid distribution as WHO renews hospital warning,2024-03-29,Pro-Palestine
183,South Africa,eNCA,Pro Palestine,"Gaza deaths top 24,000 as war drags on",2024-01-15,Pro-Palestine
184,South Africa,eNCA,Pro Palestine,Gaza refugee camp in ruins after Israeli strike,2023-12-25,Pro-Palestine
185,South Africa,eNCA,Pro Palestine,World court orders Israel to prevent Genocidal acts in Gaza strip,2024-01-27,Pro-Palestine
186,South Africa,eNCA,Pro Palestine,Strikes on Gaza's Rafah as Biden calls Israel actions excessive,2024-02-09,Pro-Palestine
187,South Africa,eNCA,Pro Palestine,"Hamas urges end to Gaza airdrops after deaths, more aid trucks",2024-03-26,Pro-Palestine
188,South Africa,eNCA,Pro Palestine,"Israel, Hamas agree four-day truce, 50 hostages to be released",2023-11-22,Neutral
189,South Africa,eNCA,Pro Palestine,ICJ cautions Israel on planned Rafah ground assault,2024-02-17,Pro-Israel
190,South Africa,eNCA,Pro Palestine,Watch | Israel standing on thin ice after ICJ ruling,2024-01-27,Pro-Palestine
191,South Africa,eNCA,Pro Palestine,Israel bombs Gaza after warning Hamas nears 'dissolution',2023-12-12,Neutral
192,South Africa,eNCA,Pro Palestine,No let-up in Gaza war despite UN ceasefire resolution,2024-03-26,Pro-Palestine
193,South Africa,eNCA,Pro Palestine,"Hamas says Israel bombs Gaza aid crossing, as UN plans vote",2023-12-21,Pro-Palestine
194,South Africa,eNCA,Pro Palestine,Israel-Hamas battles rage around major Gaza hospitals,2024-03-25,Pro-Palestine
195,South Africa,eNCA,Pro Palestine,Deadly Israel strikes rock Gaza after truce collapses,2023-12-01,Neutral
196,South Africa,eNCA,Pro Palestine,Second ship with aid bound for Gaza leaves Cyprus port,2024-03-30,Pro-Palestine
197,South Africa,eNCA,Pro Palestine,International aid backlog as Gaza supplies held up in Egypt,2023-10-23,Pro-Palestine
198,South Africa,eNCA,Pro Palestine,Alarm as Israel raids Gaza hospital,2023-11-15,Pro-Palestine
199,South Africa,eNCA,Pro Palestine,Gaza war sparks Arab fears of new Palestinian displacement,2023-10-24,Pro-Palestine
200,South Africa,eNCA,Pro Palestine,Deal struck to open Gaza border for aid,2023-10-19,Pro-Palestine
201,South Africa,eNCA,Pro Palestine,Israel faces mounting outrage over Gaza war,2023-12-18,Pro-Israel
202,South Africa,eNCA,Pro Palestine,24 hours for aid to enter Gaza before 'catastrophe': WHO,2023-10-16,Pro-Palestine
203,South Africa,eNCA,Pro Palestine,"Intense Israeli bombardment hits southern Gaza, calls for more aid grow",2024-03-27,Pro-Palestine
204,South Africa,eNCA,Pro Palestine,Hamas says 200 killed in 24 hours of Israeli strikes on Gaza,2023-12-24,Pro-Israel
205,South Africa,eNCA,Pro Palestine,Israel-Palestine conflict | Man-made famine becomes a reality in Gaza,2024-03-30,Pro-Palestine
206,South Africa,eNCA,Pro Palestine,Blinken heads to Israel to press for 'immediate' truce in Gaza war,2024-03-22,Neutral
207,South Africa,eNCA,Pro Palestine,Israel PM says army will enter Rafah despite 'international pressure',2024-03-18,Neutral
208,South Africa,eNCA,Pro Palestine,Israel PM orders army to prepare to evacuate civilians from Gaza's Rafah,2024-02-10,Neutral
209,South Africa,eNCA,Pro Palestine,"Gaza war tensions spike after deadly Iran blasts, Lebanon killing",2024-01-04,Pro-Israel
210,South Africa,eNCA,Pro Palestine,"Blinken, Jordan raise Palestinian needs as Israel readies Gaza move",2023-10-13,Pro-Israel
211,South Africa,eNCA,Pro Palestine,Israel allows two fuel tankers into Gaza daily as aid halted,2023-11-17,Pro-Palestine
212,South Africa,eNCA,Pro Palestine,Tech firms struggle as Israel-Gaza falsehoods explode,2023-10-10,Pro-Palestine
213,South Africa,eNCA,Pro Palestine,Gaza civilian deaths test Israel's AI precision claims,2024-03-03,Pro-Israel
214,South Africa,eNCA,Pro Palestine,Aid efforts intensify for famine-stalked Gaza,2024-03-14,Pro-Palestine
215,South Africa,eNCA,Pro Palestine,Israel to shift some troops north as negotiators push for Gaza ceasefire,2024-01-30,Pro-Israel
216,South Africa,eNCA,Pro Palestine,SA calls on ICC to probe Israel attacks on Gaza,2023-11-16,Neutral
217,South Africa,eNCA,Pro Palestine,UN chief warns Gaza growing more desperate 'by the hour',2023-10-29,Pro-Palestine
218,South Africa,eNCA,Pro Palestine,Blinken back in Israel as deadliest Gaza war grinds on,2024-01-09,Pro-Israel
219,South Africa,eNCA,Pro Palestine,Israel-Hamas fighting closes in on south Gaza city,2023-12-06,Pro-Israel
220,South Africa,eNCA,Pro Palestine,Gaza war rages on 100th day,2024-01-15,Pro-Palestine
221,South Africa,eNCA,Pro Palestine,Hunger grips war-torn Gaza as truce talks resume in Cairo,2024-02-21,Neutral
222,South Africa,eNCA,Pro Palestine,Netanyahu promises 'safe passage' to Palestinians ahead of Rafah operation,2024-02-11,Neutral
223,South Africa,eNCA,Pro Palestine,First relief convoy enters Gaza devastated by 'nightmare' war,2023-10-21,Pro-Palestine
224,South Africa,eNCA,Pro Palestine,"80 years after WWII, Holocaust survivor escapes Hamas attack",2023-10-17,Pro-Israel
225,South Africa,eNCA,Pro Palestine,"Israel, Hamas truce and hostage release delayed",2023-11-23,Neutral
226,South Africa,eNCA,Pro Palestine,Seepunt-betogers vra vir dingende skietstilstand in Gaza,2024-01-15,Pro-Palestine
227,South Africa,eNCA,Pro Palestine,"Gaza in spotlight as Arab, Muslim blocs meet in Saudi",2023-11-11,Pro-Palestine
228,South Africa,eNCA,Pro Palestine,Hamas frees hostages as Gaza truce takes hold,2023-11-24,Neutral
229,South Africa,eNCA,Pro Palestine,"Netanyahu rules out ceasefire, says no plans to occupy Gaza",2023-11-10,Pro-Israel
230,South Africa,eNCA,Pro Palestine,First aid boat unloads in Gaza as Hamas proposes new truce,2024-03-15,Neutral
231,South Africa,eNCA,Pro Palestine,"UN calls for ""immediate humanitarian ceasefire"" in Gaza",2023-10-24,Pro-Palestine
232,South Africa,eNCA,Pro Palestine,Fierce battles in Gaza after Jordan attack kills 3 US troops,2024-01-29,Neutral
233,South Africa,eNCA,Pro Palestine,Israel strikes Gaza's Rafah as truce talks under way,2024-02-22,Neutral
234,South Africa,eNCA,Pro Palestine,'Living hell' in the ruins of Gaza's largest hospital,2023-12-10,Pro-Palestine
