Country,News Publisher,Country Stance,Headline,Date,Headline Stance,Explanation,,,,
South Africa,eNCA,Pro Palestine,"As Israel bombs Gaza, huge blasts kill dozens in refugee camp",Tuesday 31 October 2023 - 18:56pm,Pro-Palestine," Reports on the impact of Israeli bombings in Gaza, stressing civilian casualties.",,,,
South Africa,eNCA,Pro Palestine,"99 journalists killed in 2023, 77 in Gaza war: report",Friday 16 February 2024 - 07:30am,Pro-Palestine," Notes the high number of journalist casualties in the conflict, indicating danger to the press.",,,,
South Africa,eNCA,Pro Palestine,Gazans amid the rubble of homes flattened by fighting,Tuesday 16 May 2023 - 14:03pm,Pro-Palestine, Illustrates the devastation of civilian homes in Gaza.,,,,
South Africa,eNCA,Pro Palestine,Grim cycle of death at a hospital in Gaza,Saturday 02 December 2023 - 16:52pm,Pro-Palestine, Depicts a continuous cycle of death in a Gazan hospital.,,,,
South Africa,eNCA,Pro Palestine,"Facing pressure, Security Council to vote on new Gaza ceasefire call",Monday 18 December 2023 - 04:27am,Neutral, Indicates international diplomatic movements to address the conflict.,,,,
South Africa,eNCA,Pro Palestine,"Families forced to wait as Israel, Hamas truce deal delayed",Thursday 23 November 2023 - 16:34pm,Neutral, Describes delays in ceasefire negotiations affecting families.,,,,
South Africa,eNCA,Pro Palestine,One million Gazans flee as Israel readies for ground attack,Monday 16 October 2023 - 05:00am,Pro-Palestine, Highlights the mass displacement of Gazans in anticipation of military action.,,,,
South Africa,eNCA,Pro Palestine,Israel says 20 militants killed at key Gaza hospital,Monday 18 March 2024 - 17:39pm,Pro-Israel, Reports on military operations against militants.,,,,
South Africa,eNCA,Pro Palestine,Middle East conflict | ICC investigating possible war crimes in Gaza,Monday 20 November 2023 - 07:35am,Neutral," Mentions an investigation into potential war crimes, implying accountability.",,,,
South Africa,eNCA,Pro Palestine,Sky above Gaza turns red in deadly night of strikes,Monday 06 November 2023 - 15:40pm,Pro-Palestine, Uses dramatic imagery to describe the intensity of nighttime strikes.,,,,
South Africa,eNCA,Pro Palestine,Israel deploys new military AI in Gaza war,Saturday 10 February 2024 - 12:00pm,Pro-Israel, Details technological military advancements used in the conflict.,,,,
South Africa,eNCA,Pro Palestine,UN Security Council struggles to 'speak with one voice' on Gaza,Tuesday 19 December 2023 - 19:55pm,Neutral, Discusses challenges in achieving diplomatic consensus at the UN.,,,,
South Africa,eNCA,Pro Palestine,Gazans flee as army evacuation warning sparks condemnation,Friday 13 October 2023 - 15:50pm,Pro-Palestine, Focuses on the consequences of military warnings on civilian populations.,,,,
South Africa,eNCA,Pro Palestine,Fresh Gaza strikes as fears grow for patients in raided hospital,Saturday 17 February 2024 - 15:35pm,Pro-Palestine, Highlights ongoing strikes and their effects on hospital patients in Gaza.,,,,
South Africa,eNCA,Pro Palestine,Gaza fishermen rejoice at finally fixing their boats,Monday 05 December 2022 - 11:00am,,,,,,
South Africa,eNCA,Pro Palestine,Israel says troops encircle Gaza City,Friday 03 November 2023 - 06:30am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza archaeologists find 'complete' Roman-era cemetery,Tuesday 13 December 2022 - 15:45pm,,,,,,
South Africa,eNCA,Pro Palestine,Discussion | SA takes Israel to World Court over Gaza,Thursday 04 January 2024 - 18:40pm,,,,,,
South Africa,eNCA,Pro Palestine,UN chief calls UNRWA 'backbone' of Gaza humanitarian aid,Wednesday 31 January 2024 - 20:55pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel to 'extend' Gaza ground operation as UN warns of 'avalanche of human suffering',Friday 27 October 2023 - 22:00pm,,,,,,
South Africa,eNCA,Pro Palestine,"Gaza health ministry says war deaths near 30,000 as famine looms",Thursday 29 February 2024 - 06:48am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza war heaps pressure on Palestinian president Abbas,Sunday 22 October 2023 - 14:58pm,,,,,,
South Africa,eNCA,Pro Palestine,Middle East conflict | Gift of the Givers refers Israel to ICC,Tuesday 05 December 2023 - 07:40am,,,,,,
South Africa,eNCA,Pro Palestine,Israel sets Ramadan deadline for assault on Gazan city Rafah,Monday 19 February 2024 - 08:00am,,,,,,
South Africa,eNCA,Pro Palestine,UN warns order 'starting to break down' as Israel pounds Gaza,Sunday 29 October 2023 - 10:58am,,,,,,
South Africa,eNCA,Pro Palestine,AFP calls for investigation over strike on Gaza bureau,Saturday 04 November 2023 - 21:19pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel to discuss 'next steps' in Gaza truce talks,Sunday 25 February 2024 - 05:00am,,,,,,
South Africa,eNCA,Pro Palestine,US urges 'immediate' ceasefire as Gaza war grinds on,Thursday 21 March 2024 - 22:15pm,,,,,,
South Africa,eNCA,Pro Palestine,Deadly Israel strikes rock Gaza after truce collapses,Friday 01 December 2023 - 19:13pm,,,,,,
South Africa,eNCA,Pro Palestine,Fresh hostage-prisoner releases expected as Gaza truce holds,Saturday 25 November 2023 - 12:30pm,,,,,,
South Africa,eNCA,Pro Palestine,Blinken starts Mideast tour to press for Gaza truce,Monday 05 February 2024 - 17:45pm,,,,,,
South Africa,eNCA,Pro Palestine,Battles around Gaza's largest hospital leave many trapped,Monday 13 November 2023 - 08:10am,,,,,,
South Africa,eNCA,Pro Palestine,Australia skipper Cummins backs Khawaja on Gaza views,Monday 25 December 2023 - 05:05am,,,,,,
South Africa,eNCA,Pro Palestine,Israel must 'ensure urgent humanitarian assistance' in Gaza: ICJ,Thursday 28 March 2024 - 22:13pm,,,,,,
South Africa,eNCA,Pro Palestine,Civilians trapped by fighting in Gaza,Saturday 27 January 2024 - 10:00am,,,,,,
South Africa,eNCA,Pro Palestine,ICJ Genocide Verdict | SA asks UN court to halt Gaza fighting,Friday 26 January 2024 - 14:00pm,,,,,,
South Africa,eNCA,Pro Palestine,"Discussion| Israel-Palestine Conflict | Hopes for ceasefire by next week, Monday",Wednesday 28 February 2024 - 16:30pm,,,,,,
South Africa,eNCA,Pro Palestine,WATCH | SA calls for more countries to stand against war crimes,Friday 26 January 2024 - 19:55pm,,,,,,
South Africa,eNCA,Pro Palestine,"More than 5,000 said to be killed in Israeli strikes on Gaza",Sunday 22 October 2023 - 10:54am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza truce efforts revived as first aid ship unloaded,Friday 15 March 2024 - 19:45pm,,,,,,
South Africa,eNCA,Pro Palestine,The Israel-Hamas military balance,Sunday 22 October 2023 - 19:19pm,,,,,,
South Africa,eNCA,Pro Palestine,Hamas chief in Egypt for talks on Gaza truce and hostage release,Wednesday 20 December 2023 - 12:00pm,,,,,,
South Africa,eNCA,Pro Palestine,'No excuse for hitting a hospital' in Gaza: EU chief,Wednesday 18 October 2023 - 10:55am,,,,,,
South Africa,eNCA,Pro Palestine,Israel forces fire on Gazans rushing for food aid,Thursday 29 February 2024 - 18:30pm,,,,,,
South Africa,eNCA,Pro Palestine,"'Sliver of hope' as Hamas releases hostages, but Gaza aid stalled",Saturday 21 October 2023 - 06:10am,,,,,,
South Africa,eNCA,Pro Palestine,"Gaza deaths soar as Israel says ""the war will last many more months""",Wednesday 27 December 2023 - 06:53am,,,,,,
South Africa,eNCA,Pro Palestine,Strikes on Gaza's Rafah as US warns of potential 'disaster',Friday 09 February 2024 - 11:15am,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs more Gaza targets as envoys seek truce,Thursday 21 December 2023 - 17:52pm,,,,,,
South Africa,eNCA,Pro Palestine,World waits on US as Security Council Gaza resolution stalled,Thursday 21 December 2023 - 05:15am,,,,,,
South Africa,eNCA,Pro Palestine,The Israel-Hamas military balance,Monday 16 October 2023 - 20:00pm,,,,,,
South Africa,eNCA,Pro Palestine,Gaza beekeeper tends hives by restive border,Friday 19 May 2023 - 07:30am,,,,,,
South Africa,eNCA,Pro Palestine,WATCH | SA requests ICJ order to end Israel's Gaza attacks,Friday 12 January 2024 - 06:20am,,,,,,
South Africa,eNCA,Pro Palestine,"Gaza death toll nears 30,000 as UN warns of 'imminent' famine",Wednesday 28 February 2024 - 15:15pm,,,,,,
South Africa,eNCA,Pro Palestine,Israeli strikes destroy 'hundreds' of Gaza buildings: rescuers,Saturday 28 October 2023 - 07:47am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza medic says 50 killed rushing to aid trucks,Thursday 29 February 2024 - 13:40pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs south Gaza as Hamas officials due in Cairo for truce talks,Friday 29 December 2023 - 10:50am,,,,,,
South Africa,eNCA,Pro Palestine,Cyprus says second aid ship ready to leave for Gaza,Saturday 16 March 2024 - 19:25pm,,,,,,
South Africa,eNCA,Pro Palestine,Entire Gaza population at 'severe levels of acute food insecurity': Blinken,Tuesday 19 March 2024 - 11:00am,,,,,,
South Africa,eNCA,Pro Palestine,China prepares for summit under shadow of Israel-Gaza war,Monday 16 October 2023 - 09:30am,,,,,,
South Africa,eNCA,Pro Palestine,"As Gaza deaths top 25,000, Hamas defends attacks that sparked war",Monday 22 January 2024 - 05:00am,,,,,,
South Africa,eNCA,Pro Palestine,"Middle East | SA calling for restraint, peace between Israel and Palestine",Sunday 08 October 2023 - 06:50am,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs Gaza as UN weighs new ceasefire call,Tuesday 19 December 2023 - 18:53pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs Gaza as UN warns civilians face 'grave peril',Thursday 28 December 2023 - 13:00pm,,,,,,
South Africa,eNCA,Pro Palestine,US vice president calls for 'immediate ceasefire' in Gaza,Monday 04 March 2024 - 06:50am,,,,,,
South Africa,eNCA,Pro Palestine,Discussion | Does the ICJ have the power to stop Israel's Gaza campaign?,Saturday 13 January 2024 - 18:19pm,,,,,,
South Africa,eNCA,Pro Palestine,World leaders urge Israel to avoid 'catastrophic' Rafah operation,Thursday 15 February 2024 - 09:10am,,,,,,
South Africa,eNCA,Pro Palestine,"Pandor calls for ""immediate, comprehensive ceasefire"" in Gaza",Wednesday 08 November 2023 - 10:30am,,,,,,
South Africa,eNCA,Pro Palestine,Truce between Israel and Hamas extended for two days,Tuesday 28 November 2023 - 05:45am,,,,,,
South Africa,eNCA,Pro Palestine,EU eyes call for 'corridors and pauses' for Gaza aid,Thursday 26 October 2023 - 16:30pm,,,,,,
South Africa,eNCA,Pro Palestine,29 Gaza babies evacuated to Egypt as another deadly hospital strike reported in Gaza,Monday 20 November 2023 - 10:24am,,,,,,
South Africa,eNCA,Pro Palestine,"Three US troops killed in Jordan, Biden vows reprisal",Sunday 28 January 2024 - 19:44pm,,,,,,
South Africa,eNCA,Pro Palestine,"Gaza bombardment continues as death toll passes 7,000",Saturday 28 October 2023 - 20:00pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel hammers Gaza's south,Monday 22 January 2024 - 12:50pm,,,,,,
South Africa,eNCA,Pro Palestine,Middle East conflict | ICJ to begin two-day hearings,Thursday 11 January 2024 - 10:15am,,,,,,
South Africa,eNCA,Pro Palestine,Hunger grips north of war-torn Gaza amid ongoing truce talks,Sunday 25 February 2024 - 07:41am,,,,,,
South Africa,eNCA,Pro Palestine,"Arab, Western diplomats talk past each other on Gaza",Sunday 22 October 2023 - 18:11pm,,,,,,
South Africa,eNCA,Pro Palestine,Aid ship slowly heads for Gaza as calls for assistance grow,Thursday 14 March 2024 - 06:10am,,,,,,
South Africa,eNCA,Pro Palestine,UN Security Council for first time demands Gaza ceasefire as US abstains,Monday 25 March 2024 - 17:05pm,,,,,,
South Africa,eNCA,Pro Palestine,"Israel-Hamas truce begins, hostages to be released",Friday 24 November 2023 - 09:30am,,,,,,
South Africa,eNCA,Pro Palestine,Gift of the Givers staffer killed in Gaza,Thursday 16 November 2023 - 13:33pm,,,,,,
South Africa,eNCA,Pro Palestine,Diplomatic push for Israel-Hamas ceasefire intensifies,Tuesday 05 March 2024 - 05:15am,,,,,,
South Africa,eNCA,Pro Palestine,Israel battles Hamas militants inside south Gaza city,Thursday 07 December 2023 - 05:40am,,,,,,
South Africa,eNCA,Pro Palestine,Israel pounds Gaza on 99th day of war,Saturday 13 January 2024 - 08:54am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza war rages on 100th day as Israel PM promises 'victory' over Hamas,Sunday 14 January 2024 - 15:22pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel-Palestine conflict | National Assembly mulls over shutting down Israeli embassy,Friday 17 November 2023 - 08:20am,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs more Gaza targets as envoys seek truce,Thursday 21 December 2023 - 12:52pm,,,,,,
South Africa,eNCA,Pro Palestine,"Israel, Palestinian militants trade deadly fire over Gaza",Wednesday 10 May 2023 - 09:48am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza's starving children need a 'flood' of aid: UN,Tuesday 05 March 2024 - 16:08pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel opens Gaza aid crossing as pressure mounts for restraint,Friday 15 December 2023 - 06:08am,,,,,,
South Africa,eNCA,Pro Palestine,Israel genocide hearings | ICJ decision to halt hostilities in Gaza expected soon,Tuesday 16 January 2024 - 08:30am,,,,,,
South Africa,eNCA,Pro Palestine,Dozens killed in Israeli strikes on Gaza: health ministry,Wednesday 17 January 2024 - 13:15pm,,,,,,
South Africa,eNCA,Pro Palestine,UN warns Gaza fuel shortage will stop aid work by end of day,Wednesday 25 October 2023 - 12:15pm,,,,,,
South Africa,eNCA,Pro Palestine,Qatar says Gaza truce proposal to be sent to Hamas as war rages on,Tuesday 30 January 2024 - 06:30am,,,,,,
South Africa,eNCA,Pro Palestine,Fighting rages across Gaza where death toll surges,Saturday 20 January 2024 - 06:15am,,,,,,
South Africa,eNCA,Pro Palestine,Blinken discusses sea route for Gaza aid with Cyprus president,Sunday 05 November 2023 - 18:37pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel retakes Gaza border area as death toll mounts,Wednesday 11 October 2023 - 06:20am,,,,,,
South Africa,eNCA,Pro Palestine,Hundreds killed in Gaza hospital blast,Wednesday 18 October 2023 - 08:00am,,,,,,
South Africa,eNCA,Pro Palestine,Israel-Gaza War | SA submits referral to International Criminal Court,Saturday 18 November 2023 - 06:50am,,,,,,
South Africa,eNCA,Pro Palestine,Ramaphosa calls for protection of civilians and immediate ceasefire in Gaza,Tuesday 21 November 2023 - 16:37pm,,,,,,
South Africa,eNCA,Pro Palestine,Gift of the Givers mourns killing of staffer in Gaza,Thursday 16 November 2023 - 19:58pm,,,,,,
South Africa,eNCA,Pro Palestine,Gaza truce and hostage release to start Friday,Thursday 23 November 2023 - 19:34pm,,,,,,
South Africa,eNCA,Pro Palestine,Muslim nations announce start of Ramadan in shadow of Gaza war,Monday 11 March 2024 - 09:00am,,,,,,
South Africa,eNCA,Pro Palestine,ICJ genocide decision | UN rocked by Gaza scandal,Saturday 27 January 2024 - 09:51am,,,,,,
South Africa,eNCA,Pro Palestine,"Israel, Palestinian militants trade deadly fire over Gaza",Wednesday 10 May 2023 - 16:00pm,,,,,,
South Africa,eNCA,Pro Palestine,"Hamas says Gaza deaths top 25,000 as Israel pushes offensive",Sunday 21 January 2024 - 14:40pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Israel rejects SA's allegations,Saturday 30 December 2023 - 12:05pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel and Gaza at war after Hamas launches surprise attack,Sunday 08 October 2023 - 05:50am,,,,,,
South Africa,eNCA,Pro Palestine,ICJ reminds Israel of obligation to comply with order,Sunday 18 February 2024 - 10:40am,,,,,,
South Africa,eNCA,Pro Palestine,Ramadan brings no relief as Israel-Hamas war rages in Gaza,Monday 11 March 2024 - 14:50pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs Gaza as pressure mounts to protect civilians,Sunday 03 December 2023 - 16:37pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs south Gaza after Hamas hostage threat,Monday 11 December 2023 - 05:30am,,,,,,
South Africa,eNCA,Pro Palestine,"Battles, bombardment in Gaza as Israel reschedules talks with US",Thursday 28 March 2024 - 10:30am,,,,,,
South Africa,eNCA,Pro Palestine,Mediator says Gaza truce 'not promising' as Israel rejects calls to spare Rafah,Sunday 18 February 2024 - 05:55am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza families return to homes in ruins,Wednesday 29 November 2023 - 12:26pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel says 'dozens' of militants killed in Gaza raids,Monday 30 October 2023 - 10:00am,,,,,,
South Africa,eNCA,Pro Palestine,Israeli military proposes 'plan for evacuating' Gaza civilians,Monday 26 February 2024 - 09:30am,,,,,,
South Africa,eNCA,Pro Palestine,Hamas weighs Gaza truce as deadly fighting nears fifth month,Monday 05 February 2024 - 04:50am,,,,,,
South Africa,eNCA,Pro Palestine,DA denies gagging its members on the Gaza war,Thursday 18 January 2024 - 19:16pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel battles Hamas in war it says will last 'months',Friday 15 December 2023 - 06:10am,,,,,,
South Africa,eNCA,Pro Palestine,Paris protesters call for end to Gaza massacre,Saturday 11 November 2023 - 18:47pm,,,,,,
South Africa,eNCA,Pro Palestine,"Medicine for hostages, civilians bound for Gaza after night of deadly strikes",Wednesday 17 January 2024 - 06:10am,,,,,,
South Africa,eNCA,Pro Palestine,'Intensive battles' continue in Gaza as UN chief calls on donors to maintain aid,Sunday 28 January 2024 - 14:00pm,,,,,,
South Africa,eNCA,Pro Palestine,Palestinians feel 'no joy' as Israel bombs Gaza on Christmas,Monday 25 December 2023 - 07:10am,,,,,,
South Africa,eNCA,Pro Palestine,Cyprus says second aid ship ready to leave for Gaza,Saturday 16 March 2024 - 19:50pm,,,,,,
South Africa,eNCA,Pro Palestine,Hundreds more foreign nationals flee Gaza as bombing toll mounts,Thursday 02 November 2023 - 10:35am,,,,,,
South Africa,eNCA,Pro Palestine,Hamas weighs Gaza truce as deadly fighting nears fifth month,Sunday 04 February 2024 - 14:17pm,,,,,,
South Africa,eNCA,Pro Palestine,Pope calls for end to Gaza war as world celebrates Christmas,Sunday 24 December 2023 - 23:19pm,,,,,,
South Africa,eNCA,Pro Palestine,Race to rush aid to Gaza as EU warns hunger 'a weapon of war',Wednesday 13 March 2024 - 12:59pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel-Hamas truce enters final day with talk of extension,Monday 27 November 2023 - 05:30am,,,,,,
South Africa,eNCA,Pro Palestine,US says Putin seeking to 'take advantage' of Israel-Hamas war,Tuesday 31 October 2023 - 17:27pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel army chief says war with Hamas will last 'many more months',Wednesday 27 December 2023 - 06:53am,,,,,,
South Africa,eNCA,Pro Palestine,"At the gates of Gaza, Egypt's perilous balancing act",Tuesday 12 March 2024 - 21:01pm,,,,,,
South Africa,eNCA,Pro Palestine,"'If we bathe, we won't drink': Gazans struggle as water supplies dwindle",Sunday 15 October 2023 - 21:51pm,,,,,,
South Africa,eNCA,Pro Palestine,Israeli troops battle Hamas militants in southern Gaza,Tuesday 05 December 2023 - 13:38pm,,,,,,
South Africa,eNCA,Pro Palestine,West Bank economy in tatters as Gaza war rages,Thursday 18 January 2024 - 05:00am,,,,,,
South Africa,eNCA,Pro Palestine,Dire conditions in Gaza hospitals,Sunday 12 November 2023 - 19:30pm,,,,,,
South Africa,eNCA,Pro Palestine,"Two dead in West Bank attack after Israel bombards Lebanon, Gaza",Friday 07 April 2023 - 14:02pm,,,,,,
South Africa,eNCA,Pro Palestine,Wêreldhof-uitspraak: Ontleder werp lig op impak op SA regering,Saturday 27 January 2024 - 14:03pm,,,,,,
South Africa,eNCA,Pro Palestine,EU pushes Israel on two-state solution after war in Gaza,Monday 22 January 2024 - 13:00pm,,,,,,
South Africa,eNCA,Pro Palestine,"Arbel and Judith, women hostages in Gaza limbo",Saturday 16 December 2023 - 16:59pm,,,,,,
South Africa,eNCA,Pro Palestine,Climate and Gaza crises share spotlight as world leaders attend COP28,Friday 01 December 2023 - 05:45am,,,,,,
South Africa,eNCA,Pro Palestine,"Group of SA lawyers want to institute lawsuit again US, UK",Friday 02 February 2024 - 15:18pm,,,,,,
South Africa,eNCA,Pro Palestine,Blinken hopes for progress on Gaza at UN Security Council,Wednesday 20 December 2023 - 18:51pm,,,,,,
South Africa,eNCA,Pro Palestine,"Gaza truce largely holds as Palestinians, Israelis count deadly cost",Monday 15 May 2023 - 06:00am,,,,,,
South Africa,eNCA,Pro Palestine,Israeli PM says civilians can leave crowded Rafah before invasion,Sunday 17 March 2024 - 21:29pm,,,,,,
South Africa,eNCA,Pro Palestine,Israeli ground forces move into south of Gaza,Monday 04 December 2023 - 15:18pm,,,,,,
South Africa,eNCA,Pro Palestine,UN flags at half-mast for staff killed in Gaza,Monday 13 November 2023 - 15:19pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel PM orders troops to ready for push into crowded Rafah,Thursday 08 February 2024 - 14:48pm,,,,,,
South Africa,eNCA,Pro Palestine,"Hundreds of wounded, foreigners hope to flee war-torn Gaza",Thursday 02 November 2023 - 11:30am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza world's 'most dangerous place' for children: UNICEF,Thursday 23 November 2023 - 06:30am,,,,,,
South Africa,eNCA,Pro Palestine,Rights advocates denounce 'systemic abuse' in Israeli prisons,Saturday 16 March 2024 - 19:35pm,,,,,,
South Africa,eNCA,Pro Palestine,"UN chief, at Gaza crossing, appeals for end to war's 'nightmare'",Saturday 23 March 2024 - 14:16pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Only possible solution is a political one -  Lord Peter Hain,Thursday 04 January 2024 - 10:34am,,,,,,
South Africa,eNCA,Pro Palestine,US and Russia abstain during vote,Friday 22 December 2023 - 21:02pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Hamas fears onslaught will spread to other territories,Thursday 30 November 2023 - 18:43pm,,,,,,
South Africa,eNCA,Pro Palestine,UN General Assembly calls for ceasefire in Gaza,Saturday 20 January 2024 - 21:27pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel faces growing pressure over Gaza ground operation plans,Wednesday 25 October 2023 - 17:48pm,,,,,,
South Africa,eNCA,Pro Palestine,Israeli troops battle Hamas in main southern Gaza city,Wednesday 06 December 2023 - 05:40am,,,,,,
South Africa,eNCA,Pro Palestine,First aid boat unloads in Gaza as Hamas proposes new truce,Friday 15 March 2024 - 09:30am,,,,,,
South Africa,eNCA,Pro Palestine,First wounded escape war-torn Gaza for Egypt,Tuesday 31 October 2023 - 11:52am,,,,,,
South Africa,eNCA,Pro Palestine,"Babies, over-80s, entire families: the Gaza hostages",Wednesday 22 November 2023 - 14:43pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel under pressure from allies as Gaza war rages on,Wednesday 13 December 2023 - 15:00pm,,,,,,
South Africa,eNCA,Pro Palestine,"Egypt's Sisi rejects Gaza refugee influx, blames Israel for aid block",Wednesday 18 October 2023 - 16:25pm,,,,,,
South Africa,eNCA,Pro Palestine,Israeli-Palestinian peace camp shaken but determined,Wednesday 22 November 2023 - 14:30pm,,,,,,
South Africa,eNCA,Pro Palestine,Cat cafe brings pawsitivity to war-scarred Gaza,Friday 18 August 2023 - 16:11pm,,,,,,
South Africa,eNCA,Pro Palestine,ICJ genocide decision | Unpacking ruling on Israel,Saturday 27 January 2024 - 07:17am,,,,,,
South Africa,eNCA,Pro Palestine,'Double standards' : World reacts to US veto on Gaza,Saturday 09 December 2023 - 20:33pm,,,,,,
South Africa,eNCA,Pro Palestine,WATCH | SA asks ICJ to halt military operations in Gaza,Thursday 11 January 2024 - 11:14am,,,,,,
South Africa,eNCA,Pro Palestine,Biden to visit Israel as Gaza ground offensive looms,Tuesday 17 October 2023 - 07:10am,,,,,,
South Africa,eNCA,Pro Palestine,Al Jazeera bureau chief leaves Gaza,Tuesday 16 January 2024 - 19:36pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel vows Hamas's destruction after deadly assault,Thursday 12 October 2023 - 05:45am,,,,,,
South Africa,eNCA,Pro Palestine,Deadly chaos at Gaza aid distribution as WHO renews hospital warning,Friday 29 March 2024 - 20:15pm,,,,,,
South Africa,eNCA,Pro Palestine,"Gaza deaths top 24,000 as war drags on",Monday 15 January 2024 - 10:39am,,,,,,
South Africa,eNCA,Pro Palestine,Gaza refugee camp in ruins after Israeli strike,Monday 25 December 2023 - 19:47pm,,,,,,
South Africa,eNCA,Pro Palestine,World court orders Israel to prevent Genocidal acts in Gaza strip,Saturday 27 January 2024 - 16:38pm,,,,,,
South Africa,eNCA,Pro Palestine,Strikes on Gaza's Rafah as Biden calls Israel actions excessive,Friday 09 February 2024 - 12:18pm,,,,,,
South Africa,eNCA,Pro Palestine,"Hamas urges end to Gaza airdrops after deaths, more aid trucks",Tuesday 26 March 2024 - 21:00pm,,,,,,
South Africa,eNCA,Pro Palestine,"Israel, Hamas agree four-day truce, 50 hostages to be released",Wednesday 22 November 2023 - 06:10am,,,,,,
South Africa,eNCA,Pro Palestine,ICJ cautions Israel on planned Rafah ground assault,Saturday 17 February 2024 - 06:30am,,,,,,
South Africa,eNCA,Pro Palestine,Watch | Israel standing on thin ice after ICJ ruling,Saturday 27 January 2024 - 18:00pm,,,,,,
South Africa,eNCA,Pro Palestine,Israel bombs Gaza after warning Hamas nears 'dissolution',Tuesday 12 December 2023 - 05:19am,,,,,,
South Africa,eNCA,Pro Palestine,No let-up in Gaza war despite UN ceasefire resolution,Tuesday 26 March 2024 - 06:00am,,,,,,
South Africa,eNCA,Pro Palestine,"Hamas says Israel bombs Gaza aid crossing, as UN plans vote",Thursday 21 December 2023 - 18:52pm,,,,,,
