,Country,News Publisher,Country Stance,Headline,Date,Headline Stance,parsed_dates
22,South Africa,eNCA,Pro Palestine,UN Security Council struggles to 'speak with one voice' on Gaza,Tuesday 19 December 2023 - 19:55pm,Neutral,2023-12-19
23,South Africa,eNCA,Pro Palestine,Gazans flee as army evacuation warning sparks condemnation,Friday 13 October 2023 - 15:50pm,Pro-Palestine,2023-10-13
24,South Africa,eNCA,Pro Palestine,Fresh Gaza strikes as fears grow for patients in raided hospital,Saturday 17 February 2024 - 15:35pm,Pro-Palestine,2024-02-17
25,South Africa,eNCA,Pro Palestine,Gaza fishermen rejoice at finally fixing their boats,Monday 05 December 2022 - 11:00am,,2022-12-05
26,South Africa,eNCA,Pro Palestine,Israel says troops encircle Gaza City,Friday 03 November 2023 - 06:30am,,2023-11-03
27,South Africa,eNCA,Pro Palestine,Gaza archaeologists find 'complete' Roman-era cemetery,Tuesday 13 December 2022 - 15:45pm,,2022-12-13
28,South Africa,eNCA,Pro Palestine,Discussion | SA takes Israel to World Court over Gaza,Thursday 04 January 2024 - 18:40pm,,2024-01-04
29,South Africa,eNCA,Pro Palestine,UN chief calls UNRWA 'backbone' of Gaza humanitarian aid,Wednesday 31 January 2024 - 20:55pm,,2024-01-31
30,South Africa,eNCA,Pro Palestine,Israel to 'extend' Gaza ground operation as UN warns of 'avalanche of human suffering',Friday 27 October 2023 - 22:00pm,,2023-10-27
31,South Africa,eNCA,Pro Palestine,"Gaza health ministry says war deaths near 30,000 as famine looms",Thursday 29 February 2024 - 06:48am,,2024-02-29
32,South Africa,eNCA,Pro Palestine,Gaza war heaps pressure on Palestinian president Abbas,Sunday 22 October 2023 - 14:58pm,,2023-10-22
33,South Africa,eNCA,Pro Palestine,Middle East conflict | Gift of the Givers refers Israel to ICC,Tuesday 05 December 2023 - 07:40am,,2023-12-05
34,South Africa,eNCA,Pro Palestine,Israel sets Ramadan deadline for assault on Gazan city Rafah,Monday 19 February 2024 - 08:00am,,2024-02-19
35,South Africa,eNCA,Pro Palestine,UN warns order 'starting to break down' as Israel pounds Gaza,Sunday 29 October 2023 - 10:58am,,2023-10-29
36,South Africa,eNCA,Pro Palestine,AFP calls for investigation over strike on Gaza bureau,Saturday 04 November 2023 - 21:19pm,,2023-11-04
37,South Africa,eNCA,Pro Palestine,Israel to discuss 'next steps' in Gaza truce talks,Sunday 25 February 2024 - 05:00am,,2024-02-25
38,South Africa,eNCA,Pro Palestine,US urges 'immediate' ceasefire as Gaza war grinds on,Thursday 21 March 2024 - 22:15pm,,2024-03-21
39,South Africa,eNCA,Pro Palestine,Deadly Israel strikes rock Gaza after truce collapses,Friday 01 December 2023 - 19:13pm,,2023-12-01
40,South Africa,eNCA,Pro Palestine,Fresh hostage-prisoner releases expected as Gaza truce holds,Saturday 25 November 2023 - 12:30pm,,2023-11-25
41,South Africa,eNCA,Pro Palestine,Blinken starts Mideast tour to press for Gaza truce,Monday 05 February 2024 - 17:45pm,,2024-02-05
42,South Africa,eNCA,Pro Palestine,Battles around Gaza's largest hospital leave many trapped,Monday 13 November 2023 - 08:10am,,2023-11-13
43,South Africa,eNCA,Pro Palestine,Australia skipper Cummins backs Khawaja on Gaza views,Monday 25 December 2023 - 05:05am,,2023-12-25
44,South Africa,eNCA,Pro Palestine,Israel must 'ensure urgent humanitarian assistance' in Gaza: ICJ,Thursday 28 March 2024 - 22:13pm,,2024-03-28
45,South Africa,eNCA,Pro Palestine,Civilians trapped by fighting in Gaza,Saturday 27 January 2024 - 10:00am,,2024-01-27
46,South Africa,eNCA,Pro Palestine,ICJ Genocide Verdict | SA asks UN court to halt Gaza fighting,Friday 26 January 2024 - 14:00pm,,2024-01-26
47,South Africa,eNCA,Pro Palestine,"Discussion| Israel-Palestine Conflict | Hopes for ceasefire by next week, Monday",Wednesday 28 February 2024 - 16:30pm,,2024-02-28
48,South Africa,eNCA,Pro Palestine,WATCH | SA calls for more countries to stand against war crimes,Friday 26 January 2024 - 19:55pm,,2024-01-26
49,South Africa,eNCA,Pro Palestine,"More than 5,000 said to be killed in Israeli strikes on Gaza",Sunday 22 October 2023 - 10:54am,,2023-10-22
50,South Africa,eNCA,Pro Palestine,Gaza truce efforts revived as first aid ship unloaded,Friday 15 March 2024 - 19:45pm,,2024-03-15
51,South Africa,eNCA,Pro Palestine,The Israel-Hamas military balance,Sunday 22 October 2023 - 19:19pm,,2023-10-22
52,South Africa,eNCA,Pro Palestine,Hamas chief in Egypt for talks on Gaza truce and hostage release,Wednesday 20 December 2023 - 12:00pm,,2023-12-20
53,South Africa,eNCA,Pro Palestine,'No excuse for hitting a hospital' in Gaza: EU chief,Wednesday 18 October 2023 - 10:55am,,2023-10-18
54,South Africa,eNCA,Pro Palestine,Israel forces fire on Gazans rushing for food aid,Thursday 29 February 2024 - 18:30pm,,2024-02-29
55,South Africa,eNCA,Pro Palestine,"'Sliver of hope' as Hamas releases hostages, but Gaza aid stalled",Saturday 21 October 2023 - 06:10am,,2023-10-21
56,South Africa,eNCA,Pro Palestine,"Gaza deaths soar as Israel says ""the war will last many more months""",Wednesday 27 December 2023 - 06:53am,,2023-12-27
57,South Africa,eNCA,Pro Palestine,Strikes on Gaza's Rafah as US warns of potential 'disaster',Friday 09 February 2024 - 11:15am,,2024-02-09
58,South Africa,eNCA,Pro Palestine,Israel bombs more Gaza targets as envoys seek truce,Thursday 21 December 2023 - 17:52pm,,2023-12-21
59,South Africa,eNCA,Pro Palestine,World waits on US as Security Council Gaza resolution stalled,Thursday 21 December 2023 - 05:15am,,2023-12-21
60,South Africa,eNCA,Pro Palestine,The Israel-Hamas military balance,Monday 16 October 2023 - 20:00pm,,2023-10-16
61,South Africa,eNCA,Pro Palestine,Gaza beekeeper tends hives by restive border,Friday 19 May 2023 - 07:30am,,2023-05-19
62,South Africa,eNCA,Pro Palestine,WATCH | SA requests ICJ order to end Israel's Gaza attacks,Friday 12 January 2024 - 06:20am,,2024-01-12
63,South Africa,eNCA,Pro Palestine,"Gaza death toll nears 30,000 as UN warns of 'imminent' famine",Wednesday 28 February 2024 - 15:15pm,,2024-02-28
64,South Africa,eNCA,Pro Palestine,Israeli strikes destroy 'hundreds' of Gaza buildings: rescuers,Saturday 28 October 2023 - 07:47am,,2023-10-28
65,South Africa,eNCA,Pro Palestine,Gaza medic says 50 killed rushing to aid trucks,Thursday 29 February 2024 - 13:40pm,,2024-02-29
66,South Africa,eNCA,Pro Palestine,Israel bombs south Gaza as Hamas officials due in Cairo for truce talks,Friday 29 December 2023 - 10:50am,,2023-12-29
67,South Africa,eNCA,Pro Palestine,Cyprus says second aid ship ready to leave for Gaza,Saturday 16 March 2024 - 19:25pm,,2024-03-16
68,South Africa,eNCA,Pro Palestine,Entire Gaza population at 'severe levels of acute food insecurity': Blinken,Tuesday 19 March 2024 - 11:00am,,2024-03-19
69,South Africa,eNCA,Pro Palestine,China prepares for summit under shadow of Israel-Gaza war,Monday 16 October 2023 - 09:30am,,2023-10-16
70,South Africa,eNCA,Pro Palestine,"As Gaza deaths top 25,000, Hamas defends attacks that sparked war",Monday 22 January 2024 - 05:00am,,2024-01-22
71,South Africa,eNCA,Pro Palestine,"Middle East | SA calling for restraint, peace between Israel and Palestine",Sunday 08 October 2023 - 06:50am,,2023-10-08
72,South Africa,eNCA,Pro Palestine,Israel bombs Gaza as UN weighs new ceasefire call,Tuesday 19 December 2023 - 18:53pm,,2023-12-19
73,South Africa,eNCA,Pro Palestine,Israel bombs Gaza as UN warns civilians face 'grave peril',Thursday 28 December 2023 - 13:00pm,,2023-12-28
74,South Africa,eNCA,Pro Palestine,US vice president calls for 'immediate ceasefire' in Gaza,Monday 04 March 2024 - 06:50am,,2024-03-04
75,South Africa,eNCA,Pro Palestine,Discussion | Does the ICJ have the power to stop Israel's Gaza campaign?,Saturday 13 January 2024 - 18:19pm,,2024-01-13
76,South Africa,eNCA,Pro Palestine,World leaders urge Israel to avoid 'catastrophic' Rafah operation,Thursday 15 February 2024 - 09:10am,,2024-02-15
77,South Africa,eNCA,Pro Palestine,"Pandor calls for ""immediate, comprehensive ceasefire"" in Gaza",Wednesday 08 November 2023 - 10:30am,,2023-11-08
78,South Africa,eNCA,Pro Palestine,Truce between Israel and Hamas extended for two days,Tuesday 28 November 2023 - 05:45am,,2023-11-28
79,South Africa,eNCA,Pro Palestine,EU eyes call for 'corridors and pauses' for Gaza aid,Thursday 26 October 2023 - 16:30pm,,2023-10-26
80,South Africa,eNCA,Pro Palestine,29 Gaza babies evacuated to Egypt as another deadly hospital strike reported in Gaza,Monday 20 November 2023 - 10:24am,,2023-11-20
81,South Africa,eNCA,Pro Palestine,"Three US troops killed in Jordan, Biden vows reprisal",Sunday 28 January 2024 - 19:44pm,,2024-01-28
82,South Africa,eNCA,Pro Palestine,"Gaza bombardment continues as death toll passes 7,000",Saturday 28 October 2023 - 20:00pm,,2023-10-28
83,South Africa,eNCA,Pro Palestine,Israel hammers Gaza's south,Monday 22 January 2024 - 12:50pm,,2024-01-22
84,South Africa,eNCA,Pro Palestine,Middle East conflict | ICJ to begin two-day hearings,Thursday 11 January 2024 - 10:15am,,2024-01-11
85,South Africa,eNCA,Pro Palestine,Hunger grips north of war-torn Gaza amid ongoing truce talks,Sunday 25 February 2024 - 07:41am,,2024-02-25
86,South Africa,eNCA,Pro Palestine,"Arab, Western diplomats talk past each other on Gaza",Sunday 22 October 2023 - 18:11pm,,2023-10-22
87,South Africa,eNCA,Pro Palestine,Aid ship slowly heads for Gaza as calls for assistance grow,Thursday 14 March 2024 - 06:10am,,2024-03-14
88,South Africa,eNCA,Pro Palestine,UN Security Council for first time demands Gaza ceasefire as US abstains,Monday 25 March 2024 - 17:05pm,,2024-03-25
89,South Africa,eNCA,Pro Palestine,"Israel-Hamas truce begins, hostages to be released",Friday 24 November 2023 - 09:30am,,2023-11-24
90,South Africa,eNCA,Pro Palestine,Gift of the Givers staffer killed in Gaza,Thursday 16 November 2023 - 13:33pm,,2023-11-16
91,South Africa,eNCA,Pro Palestine,Diplomatic push for Israel-Hamas ceasefire intensifies,Tuesday 05 March 2024 - 05:15am,,2024-03-05
92,South Africa,eNCA,Pro Palestine,Israel battles Hamas militants inside south Gaza city,Thursday 07 December 2023 - 05:40am,,2023-12-07
93,South Africa,eNCA,Pro Palestine,Israel pounds Gaza on 99th day of war,Saturday 13 January 2024 - 08:54am,,2024-01-13
94,South Africa,eNCA,Pro Palestine,Gaza war rages on 100th day as Israel PM promises 'victory' over Hamas,Sunday 14 January 2024 - 15:22pm,,2024-01-14
95,South Africa,eNCA,Pro Palestine,Israel-Palestine conflict | National Assembly mulls over shutting down Israeli embassy,Friday 17 November 2023 - 08:20am,,2023-11-17
96,South Africa,eNCA,Pro Palestine,Israel bombs more Gaza targets as envoys seek truce,Thursday 21 December 2023 - 12:52pm,,2023-12-21
97,South Africa,eNCA,Pro Palestine,"Israel, Palestinian militants trade deadly fire over Gaza",Wednesday 10 May 2023 - 09:48am,,2023-05-10
98,South Africa,eNCA,Pro Palestine,Gaza's starving children need a 'flood' of aid: UN,Tuesday 05 March 2024 - 16:08pm,,2024-03-05
99,South Africa,eNCA,Pro Palestine,Israel opens Gaza aid crossing as pressure mounts for restraint,Friday 15 December 2023 - 06:08am,,2023-12-15
100,South Africa,eNCA,Pro Palestine,Israel genocide hearings | ICJ decision to halt hostilities in Gaza expected soon,Tuesday 16 January 2024 - 08:30am,,2024-01-16
101,South Africa,eNCA,Pro Palestine,Dozens killed in Israeli strikes on Gaza: health ministry,Wednesday 17 January 2024 - 13:15pm,,2024-01-17
102,South Africa,eNCA,Pro Palestine,UN warns Gaza fuel shortage will stop aid work by end of day,Wednesday 25 October 2023 - 12:15pm,,2023-10-25
103,South Africa,eNCA,Pro Palestine,Qatar says Gaza truce proposal to be sent to Hamas as war rages on,Tuesday 30 January 2024 - 06:30am,,2024-01-30
104,South Africa,eNCA,Pro Palestine,Fighting rages across Gaza where death toll surges,Saturday 20 January 2024 - 06:15am,,2024-01-20
105,South Africa,eNCA,Pro Palestine,Blinken discusses sea route for Gaza aid with Cyprus president,Sunday 05 November 2023 - 18:37pm,,2023-11-05
106,South Africa,eNCA,Pro Palestine,Israel retakes Gaza border area as death toll mounts,Wednesday 11 October 2023 - 06:20am,,2023-10-11
107,South Africa,eNCA,Pro Palestine,Hundreds killed in Gaza hospital blast,Wednesday 18 October 2023 - 08:00am,,2023-10-18
108,South Africa,eNCA,Pro Palestine,Israel-Gaza War | SA submits referral to International Criminal Court,Saturday 18 November 2023 - 06:50am,,2023-11-18
109,South Africa,eNCA,Pro Palestine,Ramaphosa calls for protection of civilians and immediate ceasefire in Gaza,Tuesday 21 November 2023 - 16:37pm,,2023-11-21
110,South Africa,eNCA,Pro Palestine,Gift of the Givers mourns killing of staffer in Gaza,Thursday 16 November 2023 - 19:58pm,,2023-11-16
111,South Africa,eNCA,Pro Palestine,Gaza truce and hostage release to start Friday,Thursday 23 November 2023 - 19:34pm,,2023-11-23
112,South Africa,eNCA,Pro Palestine,Muslim nations announce start of Ramadan in shadow of Gaza war,Monday 11 March 2024 - 09:00am,,2024-03-11
113,South Africa,eNCA,Pro Palestine,ICJ genocide decision | UN rocked by Gaza scandal,Saturday 27 January 2024 - 09:51am,,2024-01-27
114,South Africa,eNCA,Pro Palestine,"Israel, Palestinian militants trade deadly fire over Gaza",Wednesday 10 May 2023 - 16:00pm,,2023-05-10
115,South Africa,eNCA,Pro Palestine,"Hamas says Gaza deaths top 25,000 as Israel pushes offensive",Sunday 21 January 2024 - 14:40pm,,2024-01-21
116,South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Israel rejects SA's allegations,Saturday 30 December 2023 - 12:05pm,,2023-12-30
117,South Africa,eNCA,Pro Palestine,Israel and Gaza at war after Hamas launches surprise attack,Sunday 08 October 2023 - 05:50am,,2023-10-08
118,South Africa,eNCA,Pro Palestine,ICJ reminds Israel of obligation to comply with order,Sunday 18 February 2024 - 10:40am,,2024-02-18
119,South Africa,eNCA,Pro Palestine,Ramadan brings no relief as Israel-Hamas war rages in Gaza,Monday 11 March 2024 - 14:50pm,,2024-03-11
120,South Africa,eNCA,Pro Palestine,Israel bombs Gaza as pressure mounts to protect civilians,Sunday 03 December 2023 - 16:37pm,,2023-12-03
121,South Africa,eNCA,Pro Palestine,Israel bombs south Gaza after Hamas hostage threat,Monday 11 December 2023 - 05:30am,,2023-12-11
122,South Africa,eNCA,Pro Palestine,"Battles, bombardment in Gaza as Israel reschedules talks with US",Thursday 28 March 2024 - 10:30am,,2024-03-28
123,South Africa,eNCA,Pro Palestine,Mediator says Gaza truce 'not promising' as Israel rejects calls to spare Rafah,Sunday 18 February 2024 - 05:55am,,2024-02-18
124,South Africa,eNCA,Pro Palestine,Gaza families return to homes in ruins,Wednesday 29 November 2023 - 12:26pm,,2023-11-29
125,South Africa,eNCA,Pro Palestine,Israel says 'dozens' of militants killed in Gaza raids,Monday 30 October 2023 - 10:00am,,2023-10-30
126,South Africa,eNCA,Pro Palestine,Israeli military proposes 'plan for evacuating' Gaza civilians,Monday 26 February 2024 - 09:30am,,2024-02-26
127,South Africa,eNCA,Pro Palestine,Hamas weighs Gaza truce as deadly fighting nears fifth month,Monday 05 February 2024 - 04:50am,,2024-02-05
128,South Africa,eNCA,Pro Palestine,DA denies gagging its members on the Gaza war,Thursday 18 January 2024 - 19:16pm,,2024-01-18
129,South Africa,eNCA,Pro Palestine,Israel battles Hamas in war it says will last 'months',Friday 15 December 2023 - 06:10am,,2023-12-15
130,South Africa,eNCA,Pro Palestine,Paris protesters call for end to Gaza massacre,Saturday 11 November 2023 - 18:47pm,,2023-11-11
131,South Africa,eNCA,Pro Palestine,"Medicine for hostages, civilians bound for Gaza after night of deadly strikes",Wednesday 17 January 2024 - 06:10am,,2024-01-17
132,South Africa,eNCA,Pro Palestine,'Intensive battles' continue in Gaza as UN chief calls on donors to maintain aid,Sunday 28 January 2024 - 14:00pm,,2024-01-28
133,South Africa,eNCA,Pro Palestine,Palestinians feel 'no joy' as Israel bombs Gaza on Christmas,Monday 25 December 2023 - 07:10am,,2023-12-25
134,South Africa,eNCA,Pro Palestine,Cyprus says second aid ship ready to leave for Gaza,Saturday 16 March 2024 - 19:50pm,,2024-03-16
135,South Africa,eNCA,Pro Palestine,Hundreds more foreign nationals flee Gaza as bombing toll mounts,Thursday 02 November 2023 - 10:35am,,2023-11-02
136,South Africa,eNCA,Pro Palestine,Hamas weighs Gaza truce as deadly fighting nears fifth month,Sunday 04 February 2024 - 14:17pm,,2024-02-04
137,South Africa,eNCA,Pro Palestine,Pope calls for end to Gaza war as world celebrates Christmas,Sunday 24 December 2023 - 23:19pm,,2023-12-24
138,South Africa,eNCA,Pro Palestine,Race to rush aid to Gaza as EU warns hunger 'a weapon of war',Wednesday 13 March 2024 - 12:59pm,,2024-03-13
139,South Africa,eNCA,Pro Palestine,Israel-Hamas truce enters final day with talk of extension,Monday 27 November 2023 - 05:30am,,2023-11-27
140,South Africa,eNCA,Pro Palestine,US says Putin seeking to 'take advantage' of Israel-Hamas war,Tuesday 31 October 2023 - 17:27pm,,2023-10-31
141,South Africa,eNCA,Pro Palestine,Israel army chief says war with Hamas will last 'many more months',Wednesday 27 December 2023 - 06:53am,,2023-12-27
142,South Africa,eNCA,Pro Palestine,"At the gates of Gaza, Egypt's perilous balancing act",Tuesday 12 March 2024 - 21:01pm,,2024-03-12
143,South Africa,eNCA,Pro Palestine,"'If we bathe, we won't drink': Gazans struggle as water supplies dwindle",Sunday 15 October 2023 - 21:51pm,,2023-10-15
144,South Africa,eNCA,Pro Palestine,Israeli troops battle Hamas militants in southern Gaza,Tuesday 05 December 2023 - 13:38pm,,2023-12-05
145,South Africa,eNCA,Pro Palestine,West Bank economy in tatters as Gaza war rages,Thursday 18 January 2024 - 05:00am,,2024-01-18
146,South Africa,eNCA,Pro Palestine,Dire conditions in Gaza hospitals,Sunday 12 November 2023 - 19:30pm,,2023-11-12
147,South Africa,eNCA,Pro Palestine,"Two dead in West Bank attack after Israel bombards Lebanon, Gaza",Friday 07 April 2023 - 14:02pm,,2023-04-07
148,South Africa,eNCA,Pro Palestine,Wêreldhof-uitspraak: Ontleder werp lig op impak op SA regering,Saturday 27 January 2024 - 14:03pm,,2024-01-27
149,South Africa,eNCA,Pro Palestine,EU pushes Israel on two-state solution after war in Gaza,Monday 22 January 2024 - 13:00pm,,2024-01-22
150,South Africa,eNCA,Pro Palestine,"Arbel and Judith, women hostages in Gaza limbo",Saturday 16 December 2023 - 16:59pm,,2023-12-16
151,South Africa,eNCA,Pro Palestine,Climate and Gaza crises share spotlight as world leaders attend COP28,Friday 01 December 2023 - 05:45am,,2023-12-01
152,South Africa,eNCA,Pro Palestine,"Group of SA lawyers want to institute lawsuit again US, UK",Friday 02 February 2024 - 15:18pm,,2024-02-02
153,South Africa,eNCA,Pro Palestine,Blinken hopes for progress on Gaza at UN Security Council,Wednesday 20 December 2023 - 18:51pm,,2023-12-20
154,South Africa,eNCA,Pro Palestine,"Gaza truce largely holds as Palestinians, Israelis count deadly cost",Monday 15 May 2023 - 06:00am,,2023-05-15
155,South Africa,eNCA,Pro Palestine,Israeli PM says civilians can leave crowded Rafah before invasion,Sunday 17 March 2024 - 21:29pm,,2024-03-17
156,South Africa,eNCA,Pro Palestine,Israeli ground forces move into south of Gaza,Monday 04 December 2023 - 15:18pm,,2023-12-04
157,South Africa,eNCA,Pro Palestine,UN flags at half-mast for staff killed in Gaza,Monday 13 November 2023 - 15:19pm,,2023-11-13
158,South Africa,eNCA,Pro Palestine,Israel PM orders troops to ready for push into crowded Rafah,Thursday 08 February 2024 - 14:48pm,,2024-02-08
159,South Africa,eNCA,Pro Palestine,"Hundreds of wounded, foreigners hope to flee war-torn Gaza",Thursday 02 November 2023 - 11:30am,,2023-11-02
160,South Africa,eNCA,Pro Palestine,Gaza world's 'most dangerous place' for children: UNICEF,Thursday 23 November 2023 - 06:30am,,2023-11-23
161,South Africa,eNCA,Pro Palestine,Rights advocates denounce 'systemic abuse' in Israeli prisons,Saturday 16 March 2024 - 19:35pm,,2024-03-16
162,South Africa,eNCA,Pro Palestine,"UN chief, at Gaza crossing, appeals for end to war's 'nightmare'",Saturday 23 March 2024 - 14:16pm,,2024-03-23
163,South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Only possible solution is a political one -  Lord Peter Hain,Thursday 04 January 2024 - 10:34am,,2024-01-04
164,South Africa,eNCA,Pro Palestine,US and Russia abstain during vote,Friday 22 December 2023 - 21:02pm,,2023-12-22
165,South Africa,eNCA,Pro Palestine,Israel-Palestine Conflict | Hamas fears onslaught will spread to other territories,Thursday 30 November 2023 - 18:43pm,,2023-11-30
166,South Africa,eNCA,Pro Palestine,UN General Assembly calls for ceasefire in Gaza,Saturday 20 January 2024 - 21:27pm,,2024-01-20
167,South Africa,eNCA,Pro Palestine,Israel faces growing pressure over Gaza ground operation plans,Wednesday 25 October 2023 - 17:48pm,,2023-10-25
168,South Africa,eNCA,Pro Palestine,Israeli troops battle Hamas in main southern Gaza city,Wednesday 06 December 2023 - 05:40am,,2023-12-06
169,South Africa,eNCA,Pro Palestine,First aid boat unloads in Gaza as Hamas proposes new truce,Friday 15 March 2024 - 09:30am,,2024-03-15
170,South Africa,eNCA,Pro Palestine,First wounded escape war-torn Gaza for Egypt,Tuesday 31 October 2023 - 11:52am,,2023-10-31
171,South Africa,eNCA,Pro Palestine,"Babies, over-80s, entire families: the Gaza hostages",Wednesday 22 November 2023 - 14:43pm,,2023-11-22
172,South Africa,eNCA,Pro Palestine,Israel under pressure from allies as Gaza war rages on,Wednesday 13 December 2023 - 15:00pm,,2023-12-13
173,South Africa,eNCA,Pro Palestine,"Egypt's Sisi rejects Gaza refugee influx, blames Israel for aid block",Wednesday 18 October 2023 - 16:25pm,,2023-10-18
174,South Africa,eNCA,Pro Palestine,Israeli-Palestinian peace camp shaken but determined,Wednesday 22 November 2023 - 14:30pm,,2023-11-22
175,South Africa,eNCA,Pro Palestine,Cat cafe brings pawsitivity to war-scarred Gaza,Friday 18 August 2023 - 16:11pm,,2023-08-18
176,South Africa,eNCA,Pro Palestine,ICJ genocide decision | Unpacking ruling on Israel,Saturday 27 January 2024 - 07:17am,,2024-01-27
177,South Africa,eNCA,Pro Palestine,'Double standards' : World reacts to US veto on Gaza,Saturday 09 December 2023 - 20:33pm,,2023-12-09
178,South Africa,eNCA,Pro Palestine,WATCH | SA asks ICJ to halt military operations in Gaza,Thursday 11 January 2024 - 11:14am,,2024-01-11
179,South Africa,eNCA,Pro Palestine,Biden to visit Israel as Gaza ground offensive looms,Tuesday 17 October 2023 - 07:10am,,2023-10-17
180,South Africa,eNCA,Pro Palestine,Al Jazeera bureau chief leaves Gaza,Tuesday 16 January 2024 - 19:36pm,,2024-01-16
181,South Africa,eNCA,Pro Palestine,Israel vows Hamas's destruction after deadly assault,Thursday 12 October 2023 - 05:45am,,2023-10-12
182,South Africa,eNCA,Pro Palestine,Deadly chaos at Gaza aid distribution as WHO renews hospital warning,Friday 29 March 2024 - 20:15pm,,2024-03-29
183,South Africa,eNCA,Pro Palestine,"Gaza deaths top 24,000 as war drags on",Monday 15 January 2024 - 10:39am,,2024-01-15
184,South Africa,eNCA,Pro Palestine,Gaza refugee camp in ruins after Israeli strike,Monday 25 December 2023 - 19:47pm,,2023-12-25
185,South Africa,eNCA,Pro Palestine,World court orders Israel to prevent Genocidal acts in Gaza strip,Saturday 27 January 2024 - 16:38pm,,2024-01-27
186,South Africa,eNCA,Pro Palestine,Strikes on Gaza's Rafah as Biden calls Israel actions excessive,Friday 09 February 2024 - 12:18pm,,2024-02-09
187,South Africa,eNCA,Pro Palestine,"Hamas urges end to Gaza airdrops after deaths, more aid trucks",Tuesday 26 March 2024 - 21:00pm,,2024-03-26
188,South Africa,eNCA,Pro Palestine,"Israel, Hamas agree four-day truce, 50 hostages to be released",Wednesday 22 November 2023 - 06:10am,,2023-11-22
189,South Africa,eNCA,Pro Palestine,ICJ cautions Israel on planned Rafah ground assault,Saturday 17 February 2024 - 06:30am,,2024-02-17
190,South Africa,eNCA,Pro Palestine,Watch | Israel standing on thin ice after ICJ ruling,Saturday 27 January 2024 - 18:00pm,,2024-01-27
